Iteration,Fitness,Chromosome
0,16189.175371,[130.16, -6.08]
100,3749.93765206,[-43.42, 70.03]
200,2786.02086645,[38.73, 21.37]
300,2786.02086645,[38.73, 21.37]
400,1056.546582,[-35.67, 7.77]
500,354.521458998,[16.16, 4.49]
600,354.521458998,[16.16, 4.49]
700,354.521458998,[16.16, 4.49]
800,354.521458998,[16.16, 4.49]
900,3.30962622622,[-1.43, 0.67]
1000,3.30962622622,[-1.43, 0.67]
1100,3.30962622622,[-1.43, 0.67]
1200,3.30962622622,[-1.43, 0.67]
1300,3.30962622622,[-1.43, 0.67]
1400,3.30962622622,[-1.43, 0.67]
1500,3.30962622622,[-1.43, 0.67]
1600,3.30962622622,[-1.43, 0.67]
1700,3.30962622622,[-1.43, 0.67]
1800,3.30962622622,[-1.43, 0.67]
1900,3.30962622622,[-1.43, 0.67]
2000,3.30962622622,[-1.43, 0.67]
2100,3.30962622622,[-1.43, 0.67]
2200,3.30962622622,[-1.43, 0.67]
2300,3.30962622622,[-1.43, 0.67]
2400,3.30962622622,[-1.43, 0.67]
2500,3.30962622622,[-1.43, 0.67]
2600,3.30962622622,[-1.43, 0.67]
2700,3.30962622622,[-1.43, 0.67]
2800,3.30962622622,[-1.43, 0.67]
2900,3.30962622622,[-1.43, 0.67]
3000,3.30962622622,[-1.43, 0.67]
3100,3.30962622622,[-1.43, 0.67]
3200,3.30962622622,[-1.43, 0.67]
3300,3.30962622622,[-1.43, 0.67]
3400,3.30962622622,[-1.43, 0.67]
3500,3.30962622622,[-1.43, 0.67]
3600,3.30962622622,[-1.43, 0.67]
3700,3.30962622622,[-1.43, 0.67]
3800,3.30962622622,[-1.43, 0.67]
3900,3.30962622622,[-1.43, 0.67]
4000,3.30962622622,[-1.43, 0.67]
4100,3.30962622622,[-1.43, 0.67]
4200,3.30962622622,[-1.43, 0.67]
4300,3.30962622622,[-1.43, 0.67]
4400,3.30962622622,[-1.43, 0.67]
4500,3.30962622622,[-1.43, 0.67]
4600,3.30962622622,[-1.43, 0.67]
4700,3.30962622622,[-1.43, 0.67]
4800,3.30962622622,[-1.43, 0.67]
4900,3.30962622622,[-1.43, 0.67]
5000,3.30962622622,[-1.43, 0.67]
5100,3.30962622622,[-1.43, 0.67]
5200,3.30962622622,[-1.43, 0.67]
5300,3.30962622622,[-1.43, 0.67]
5400,3.30962622622,[-1.43, 0.67]
5500,3.30962622622,[-1.43, 0.67]
5600,3.30962622622,[-1.43, 0.67]
5700,3.30962622622,[-1.43, 0.67]
5800,3.30962622622,[-1.43, 0.67]
5900,3.30962622622,[-1.43, 0.67]
6000,3.30962622622,[-1.43, 0.67]
6100,3.30962622622,[-1.43, 0.67]
6200,3.30962622622,[-1.43, 0.67]
6300,3.30962622622,[-1.43, 0.67]
6400,3.30962622622,[-1.43, 0.67]
6500,3.30962622622,[-1.43, 0.67]
6600,3.30962622622,[-1.43, 0.67]
6700,3.30962622622,[-1.43, 0.67]
6800,3.30962622622,[-1.43, 0.67]
6900,3.30962622622,[-1.43, 0.67]
7000,3.30962622622,[-1.43, 0.67]
7100,3.30962622622,[-1.43, 0.67]
7200,3.30962622622,[-1.43, 0.67]
7300,3.30962622622,[-1.43, 0.67]
7400,3.30962622622,[-1.43, 0.67]
7500,3.30962622622,[-1.43, 0.67]
7600,3.30962622622,[-1.43, 0.67]
7700,3.30962622622,[-1.43, 0.67]
7800,3.30962622622,[-1.43, 0.67]
7900,3.30962622622,[-1.43, 0.67]
8000,3.30962622622,[-1.43, 0.67]
8100,3.30962622622,[-1.43, 0.67]
8200,3.30962622622,[-1.43, 0.67]
8300,3.30962622622,[-1.43, 0.67]
8400,3.30962622622,[-1.43, 0.67]
8500,3.30962622622,[-1.43, 0.67]
8600,3.30962622622,[-1.43, 0.67]
8700,3.30962622622,[-1.43, 0.67]
8800,3.30962622622,[-1.43, 0.67]
8900,3.30962622622,[-1.43, 0.67]
9000,3.30962622622,[-1.43, 0.67]
9100,3.30962622622,[-1.43, 0.67]
9200,3.30962622622,[-1.43, 0.67]
9300,3.30962622622,[-1.43, 0.67]
9400,3.30962622622,[-1.43, 0.67]
9500,3.30962622622,[-1.43, 0.67]
9600,3.30962622622,[-1.43, 0.67]
9700,3.30962622622,[-1.43, 0.67]
9800,3.30962622622,[-1.43, 0.67]
9900,3.30962622622,[-1.43, 0.67]
10000,3.30962622622,[-1.43, 0.67]
10100,3.30962622622,[-1.43, 0.67]
10200,3.30962622622,[-1.43, 0.67]
10300,3.30962622622,[-1.43, 0.67]
10400,3.30962622622,[-1.43, 0.67]
10500,3.30962622622,[-1.43, 0.67]
10600,3.30962622622,[-1.43, 0.67]
10700,3.30962622622,[-1.43, 0.67]
10800,3.30962622622,[-1.43, 0.67]
10900,3.30962622622,[-1.43, 0.67]
11000,3.30962622622,[-1.43, 0.67]
11100,3.30962622622,[-1.43, 0.67]
11200,3.30962622622,[-1.43, 0.67]
11300,3.30962622622,[-1.43, 0.67]
11400,3.30962622622,[-1.43, 0.67]
11500,3.30962622622,[-1.43, 0.67]
11600,3.30962622622,[-1.43, 0.67]
11700,3.30962622622,[-1.43, 0.67]
11800,3.30962622622,[-1.43, 0.67]
11900,3.30962622622,[-1.43, 0.67]
12000,3.30962622622,[-1.43, 0.67]
12100,3.30962622622,[-1.43, 0.67]
12200,3.30962622622,[-1.43, 0.67]
12300,3.30962622622,[-1.43, 0.67]
12400,3.30962622622,[-1.43, 0.67]
12500,3.30962622622,[-1.43, 0.67]
12600,3.30962622622,[-1.43, 0.67]
12700,3.30962622622,[-1.43, 0.67]
12800,3.30962622622,[-1.43, 0.67]
12900,3.30962622622,[-1.43, 0.67]
13000,3.30962622622,[-1.43, 0.67]
13100,3.30962622622,[-1.43, 0.67]
13200,3.30962622622,[-1.43, 0.67]
13300,3.30962622622,[-1.43, 0.67]
13400,3.30962622622,[-1.43, 0.67]
13500,3.30962622622,[-1.43, 0.67]
13600,3.30962622622,[-1.43, 0.67]
13700,3.30962622622,[-1.43, 0.67]
13800,3.30962622622,[-1.43, 0.67]
13900,3.30962622622,[-1.43, 0.67]
14000,3.30962622622,[-1.43, 0.67]
14100,3.30962622622,[-1.43, 0.67]
14200,3.30962622622,[-1.43, 0.67]
14300,3.30962622622,[-1.43, 0.67]
14400,3.30962622622,[-1.43, 0.67]
14500,3.30962622622,[-1.43, 0.67]
14600,3.30962622622,[-1.43, 0.67]
14700,3.30962622622,[-1.43, 0.67]
14800,3.30962622622,[-1.43, 0.67]
14900,3.30962622622,[-1.43, 0.67]
15000,3.30962622622,[-1.43, 0.67]
15100,3.30962622622,[-1.43, 0.67]
15200,3.30962622622,[-1.43, 0.67]
15300,3.30962622622,[-1.43, 0.67]
15400,3.30962622622,[-1.43, 0.67]
15500,3.30962622622,[-1.43, 0.67]
15600,3.30962622622,[-1.43, 0.67]
15700,3.30962622622,[-1.43, 0.67]
15800,3.30962622622,[-1.43, 0.67]
15900,3.30962622622,[-1.43, 0.67]
16000,3.30962622622,[-1.43, 0.67]
16100,3.30962622622,[-1.43, 0.67]
16200,3.30962622622,[-1.43, 0.67]
16300,3.30962622622,[-1.43, 0.67]
16400,3.30962622622,[-1.43, 0.67]
16500,3.30962622622,[-1.43, 0.67]
16600,3.30962622622,[-1.43, 0.67]
16700,3.30962622622,[-1.43, 0.67]
16800,3.30962622622,[-1.43, 0.67]
16900,3.30962622622,[-1.43, 0.67]
17000,3.30962622622,[-1.43, 0.67]
17100,3.30962622622,[-1.43, 0.67]
17200,3.30962622622,[-1.43, 0.67]
17300,3.30962622622,[-1.43, 0.67]
17400,3.30962622622,[-1.43, 0.67]
17500,3.30962622622,[-1.43, 0.67]
17600,3.30962622622,[-1.43, 0.67]
17700,3.30962622622,[-1.43, 0.67]
17800,3.30962622622,[-1.43, 0.67]
17900,3.30962622622,[-1.43, 0.67]
18000,3.30962622622,[-1.43, 0.67]
18100,3.30962622622,[-1.43, 0.67]
18200,3.30962622622,[-1.43, 0.67]
18300,3.30962622622,[-1.43, 0.67]
18400,3.30962622622,[-1.43, 0.67]
18500,3.30962622622,[-1.43, 0.67]
18600,3.30962622622,[-1.43, 0.67]
18700,3.30962622622,[-1.43, 0.67]
18800,3.30962622622,[-1.43, 0.67]
18900,3.30962622622,[-1.43, 0.67]
19000,3.30962622622,[-1.43, 0.67]
19100,3.30962622622,[-1.43, 0.67]
19200,3.30962622622,[-1.43, 0.67]
19300,3.30962622622,[-1.43, 0.67]
19400,3.30962622622,[-1.43, 0.67]
19500,3.30962622622,[-1.43, 0.67]
19600,3.30962622622,[-1.43, 0.67]
19700,3.30962622622,[-1.43, 0.67]
19800,3.30962622622,[-1.43, 0.67]
19900,3.30962622622,[-1.43, 0.67]
