Iteration,Fitness,Chromosomes
0,165.153513252,[3.06, 11.04, -331.87]
100,1.49101882334,[-0.02, -0.92, 31.57]
200,1.45551565685,[0.03, -0.92, 31.57]
300,1.45551565685,[0.03, -0.92, 31.57]
400,1.05973515582,[0.02, -0.3, 31.57]
500,1.05973515582,[0.02, -0.3, 31.57]
600,1.05973515582,[0.02, -0.3, 31.57]
700,1.05973515582,[0.02, -0.3, 31.57]
800,1.05973515582,[0.02, -0.3, 31.57]
900,1.05973515582,[0.02, -0.3, 31.57]
1000,1.05973515582,[0.02, -0.3, 31.57]
1100,1.05973515582,[0.02, -0.3, 31.57]
1200,1.05973515582,[0.02, -0.3, 31.57]
1300,1.05973515582,[0.02, -0.3, 31.57]
1400,1.05973515582,[0.02, -0.3, 31.57]
1500,1.05973515582,[0.02, -0.3, 31.57]
1600,1.05973515582,[0.02, -0.3, 31.57]
1700,1.05973515582,[0.02, -0.3, 31.57]
1800,1.05973515582,[0.02, -0.3, 31.57]
1900,1.0423650617,[-0.02, 0.23, 31.57]
2000,1.0423650617,[-0.02, 0.23, 31.57]
2100,1.0423650617,[-0.02, 0.23, 31.57]
2200,1.0423650617,[-0.02, 0.23, 31.57]
2300,1.0423650617,[-0.02, 0.23, 31.57]
2400,1.02866974463,[-0.02, 0.15, 31.57]
2500,1.02866974463,[-0.02, 0.15, 31.57]
2600,1.02866974463,[-0.02, 0.15, 31.57]
2700,1.02866974463,[-0.02, 0.15, 31.57]
2800,1.02866974463,[-0.02, 0.15, 31.57]
2900,1.02866974463,[-0.02, 0.15, 31.57]
3000,1.02866974463,[-0.02, 0.15, 31.57]
3100,1.02866974463,[-0.02, 0.15, 31.57]
3200,1.02866974463,[-0.02, 0.15, 31.57]
3300,1.02866974463,[-0.02, 0.15, 31.57]
3400,1.02866974463,[-0.02, 0.15, 31.57]
3500,1.02866974463,[-0.02, 0.15, 31.57]
3600,1.02866974463,[-0.02, 0.15, 31.57]
3700,1.02866974463,[-0.02, 0.15, 31.57]
3800,1.02339920663,[-0.02, -0.06, 31.57]
3900,1.00180053994,[0.0, -0.06, 31.57]
4000,1.00180053994,[0.0, -0.06, 31.57]
4100,1.00180053994,[0.0, -0.06, 31.57]
4200,1.00180053994,[0.0, -0.06, 31.57]
4300,1.00180053994,[0.0, -0.06, 31.57]
4400,1.00180053994,[0.0, -0.06, 31.57]
4500,1.00180053994,[0.0, -0.06, 31.57]
4600,1.00180053994,[0.0, -0.06, 31.57]
4700,1.00180053994,[0.0, -0.06, 31.57]
4800,1.00180053994,[0.0, -0.06, 31.57]
4900,1.00180053994,[0.0, -0.06, 31.57]
5000,1.00180053994,[0.0, -0.06, 31.57]
5100,1.00180053994,[0.0, -0.06, 31.57]
5200,1.00180053994,[0.0, -0.06, 31.57]
5300,1.00180053994,[0.0, -0.06, 31.57]
5400,1.00180053994,[0.0, -0.06, 31.57]
5500,1.00180053994,[0.0, -0.06, 31.57]
5600,1.00180053994,[0.0, -0.06, 31.57]
5700,1.00180053994,[0.0, -0.06, 31.57]
5800,1.00180053994,[0.0, -0.06, 31.57]
5900,1.00180053994,[0.0, -0.06, 31.57]
6000,1.00180053994,[0.0, -0.06, 31.57]
