Iteration,Fitness,Chromosome
0,21721.4046527,[2.31, 3.95]
100,1.5171826851,[-1.13, 1.51]
200,0.822741814372,[-3.69, 1.22]
300,0.450599795919,[3.67, 0.53]
400,0.450599795919,[3.67, 0.53]
500,0.450599795919,[3.67, 0.53]
600,0.450599795919,[3.67, 0.53]
700,0.450599795919,[3.67, 0.53]
800,0.306276826357,[3.36, 0.66]
900,0.131844835413,[4.16, 0.66]
1000,0.131844835413,[4.16, 0.66]
1100,0.131844835413,[4.16, 0.66]
1200,0.131844835413,[4.16, 0.66]
1300,0.0641029947057,[3.92, 0.67]
1400,0.0641029947057,[3.92, 0.67]
1500,0.0641029947057,[3.92, 0.67]
1600,0.0641029947057,[3.92, 0.67]
1700,0.0641029947057,[3.92, 0.67]
1800,0.0641029947057,[3.92, 0.67]
1900,0.0641029947057,[3.92, 0.67]
2000,0.0641029947057,[3.92, 0.67]
2100,0.0641029947057,[3.92, 0.67]
2200,0.0641029947057,[3.92, 0.67]
2300,0.0641029947057,[3.92, 0.67]
2400,0.0641029947057,[3.92, 0.67]
2500,0.0641029947057,[3.92, 0.67]
2600,0.0641029947057,[3.92, 0.67]
2700,0.0641029947057,[3.92, 0.67]
2800,0.0641029947057,[3.92, 0.67]
2900,0.0641029947057,[3.92, 0.67]
3000,0.0641029947057,[3.92, 0.67]
3100,0.0256777173049,[3.09, 0.49]
3200,0.0256777173049,[3.09, 0.49]
3300,0.0256777173049,[3.09, 0.49]
3400,0.0256777173049,[3.09, 0.49]
3500,0.0256777173049,[3.09, 0.49]
3600,0.0256777173049,[3.09, 0.49]
3700,0.0256777173049,[3.09, 0.49]
3800,0.0256777173049,[3.09, 0.49]
3900,0.0184553848367,[3.39, 0.59]
4000,0.0184553848367,[3.39, 0.59]
4100,0.0184553848367,[3.39, 0.59]
4200,0.0184553848367,[3.39, 0.59]
4300,0.0184553848367,[3.39, 0.59]
4400,0.0184553848367,[3.39, 0.59]
4500,0.0184553848367,[3.39, 0.59]
4600,0.0184553848367,[3.39, 0.59]
4700,0.0184553848367,[3.39, 0.59]
4800,0.0184553848367,[3.39, 0.59]
4900,0.0184553848367,[3.39, 0.59]
5000,0.0184553848367,[3.39, 0.59]
5100,0.0184553848367,[3.39, 0.59]
5200,0.0184553848367,[3.39, 0.59]
5300,0.0184553848367,[3.39, 0.59]
5400,0.0184553848367,[3.39, 0.59]
5500,0.0184553848367,[3.39, 0.59]
5600,0.0184553848367,[3.39, 0.59]
5700,0.0184553848367,[3.39, 0.59]
5800,0.0184553848367,[3.39, 0.59]
5900,0.0184553848367,[3.39, 0.59]
6000,0.0184553848367,[3.39, 0.59]
6100,0.0184553848367,[3.39, 0.59]
6200,0.0184553848367,[3.39, 0.59]
6300,0.0184553848367,[3.39, 0.59]
6400,0.0184553848367,[3.39, 0.59]
6500,0.0184553848367,[3.39, 0.59]
6600,0.0184553848367,[3.39, 0.59]
6700,0.0184553848367,[3.39, 0.59]
6800,0.0184553848367,[3.39, 0.59]
6900,0.0184553848367,[3.39, 0.59]
7000,0.0184553848367,[3.39, 0.59]
7100,0.0184553848367,[3.39, 0.59]
7200,0.0184553848367,[3.39, 0.59]
7300,0.0184553848367,[3.39, 0.59]
7400,0.0184553848367,[3.39, 0.59]
7500,0.0184553848367,[3.39, 0.59]
7600,0.0184553848367,[3.39, 0.59]
7700,0.0184553848367,[3.39, 0.59]
7800,0.0184553848367,[3.39, 0.59]
7900,0.0184553848367,[3.39, 0.59]
8000,0.0184553848367,[3.39, 0.59]
8100,0.0184553848367,[3.39, 0.59]
8200,0.0184553848367,[3.39, 0.59]
8300,0.0184553848367,[3.39, 0.59]
8400,0.0184553848367,[3.39, 0.59]
8500,0.0184553848367,[3.39, 0.59]
8600,0.0184553848367,[3.39, 0.59]
8700,0.0184553848367,[3.39, 0.59]
8800,0.0184553848367,[3.39, 0.59]
8900,0.0184553848367,[3.39, 0.59]
9000,0.0184553848367,[3.39, 0.59]
9100,0.0184553848367,[3.39, 0.59]
9200,0.0184553848367,[3.39, 0.59]
9300,0.0184553848367,[3.39, 0.59]
9400,0.0184553848367,[3.39, 0.59]
9500,0.00833107483331,[3.24, 0.56]
9600,0.00833107483331,[3.24, 0.56]
9700,0.00833107483331,[3.24, 0.56]
9800,0.00833107483331,[3.24, 0.56]
9900,0.00833107483331,[3.24, 0.56]
10000,0.00833107483331,[3.24, 0.56]
10100,0.00833107483331,[3.24, 0.56]
10200,0.00833107483331,[3.24, 0.56]
10300,0.00833107483331,[3.24, 0.56]
10400,0.00833107483331,[3.24, 0.56]
10500,0.00833107483331,[3.24, 0.56]
10600,0.00833107483331,[3.24, 0.56]
10700,0.00833107483331,[3.24, 0.56]
10800,0.00833107483331,[3.24, 0.56]
10900,0.00833107483331,[3.24, 0.56]
11000,0.00833107483331,[3.24, 0.56]
11100,0.00833107483331,[3.24, 0.56]
11200,0.00833107483331,[3.24, 0.56]
11300,0.00833107483331,[3.24, 0.56]
11400,0.00833107483331,[3.24, 0.56]
11500,0.00503981132779,[2.91, 0.49]
11600,0.00503981132779,[2.91, 0.49]
11700,0.00503981132779,[2.91, 0.49]
11800,0.00503981132779,[2.91, 0.49]
11900,0.00503981132779,[2.91, 0.49]
12000,0.00503981132779,[2.91, 0.49]
12100,0.00503981132779,[2.91, 0.49]
12200,0.00503981132779,[2.91, 0.49]
12300,0.00503981132779,[2.91, 0.49]
12400,0.00503981132779,[2.91, 0.49]
12500,0.00503981132779,[2.91, 0.49]
12600,0.00503981132779,[2.91, 0.49]
12700,0.00503981132779,[2.91, 0.49]
12800,0.00503981132779,[2.91, 0.49]
12900,0.00503981132779,[2.91, 0.49]
13000,0.00503981132779,[2.91, 0.49]
13100,0.00503981132779,[2.91, 0.49]
13200,0.00503981132779,[2.91, 0.49]
13300,0.00503981132779,[2.91, 0.49]
13400,0.00503981132779,[2.91, 0.49]
13500,0.00503981132779,[2.91, 0.49]
13600,0.00503981132779,[2.91, 0.49]
13700,0.00503981132779,[2.91, 0.49]
13800,0.00503981132779,[2.91, 0.49]
13900,0.00503981132779,[2.91, 0.49]
14000,0.00503981132779,[2.91, 0.49]
14100,0.00503981132779,[2.91, 0.49]
14200,0.00503981132779,[2.91, 0.49]
14300,0.00503981132779,[2.91, 0.49]
14400,0.00503981132779,[2.91, 0.49]
14500,0.00503981132779,[2.91, 0.49]
14600,0.00503981132779,[2.91, 0.49]
14700,0.00503981132779,[2.91, 0.49]
14800,0.00503981132779,[2.91, 0.49]
14900,0.00503981132779,[2.91, 0.49]
15000,0.00503981132779,[2.91, 0.49]
15100,0.00503981132779,[2.91, 0.49]
15200,0.00503981132779,[2.91, 0.49]
15300,0.00503981132779,[2.91, 0.49]
15400,0.00503981132779,[2.91, 0.49]
15500,0.00503981132779,[2.91, 0.49]
15600,0.00503981132779,[2.91, 0.49]
15700,0.00503981132779,[2.91, 0.49]
15800,0.00503981132779,[2.91, 0.49]
15900,0.00503981132779,[2.91, 0.49]
16000,0.00503981132779,[2.91, 0.49]
16100,0.00503981132779,[2.91, 0.49]
16200,0.00503981132779,[2.91, 0.49]
16300,0.00503981132779,[2.91, 0.49]
16400,0.00503981132779,[2.91, 0.49]
16500,0.00503981132779,[2.91, 0.49]
16600,0.00503981132779,[2.91, 0.49]
16700,0.00503981132779,[2.91, 0.49]
16800,0.00503981132779,[2.91, 0.49]
16900,0.00503981132779,[2.91, 0.49]
17000,0.00503981132779,[2.91, 0.49]
17100,0.00503981132779,[2.91, 0.49]
17200,0.00503981132779,[2.91, 0.49]
17300,0.00503981132779,[2.91, 0.49]
17400,0.00503981132779,[2.91, 0.49]
17500,0.00503981132779,[2.91, 0.49]
17600,0.00503981132779,[2.91, 0.49]
17700,0.00503981132779,[2.91, 0.49]
17800,0.00503981132779,[2.91, 0.49]
17900,0.00503981132779,[2.91, 0.49]
18000,0.00503981132779,[2.91, 0.49]
18100,0.00503981132779,[2.91, 0.49]
18200,0.00503981132779,[2.91, 0.49]
18300,0.00503981132779,[2.91, 0.49]
18400,0.00503981132779,[2.91, 0.49]
18500,0.00503981132779,[2.91, 0.49]
18600,0.00503981132779,[2.91, 0.49]
18700,0.00503981132779,[2.91, 0.49]
18800,0.00503981132779,[2.91, 0.49]
18900,0.00503981132779,[2.91, 0.49]
19000,0.00503981132779,[2.91, 0.49]
19100,0.00503981132779,[2.91, 0.49]
19200,0.00503981132779,[2.91, 0.49]
19300,0.00503981132779,[2.91, 0.49]
19400,0.00503981132779,[2.91, 0.49]
19500,0.00503981132779,[2.91, 0.49]
19600,0.00503981132779,[2.91, 0.49]
19700,0.00503981132779,[2.91, 0.49]
19800,0.00503981132779,[2.91, 0.49]
19900,0.00503981132779,[2.91, 0.49]
