Iteration,Fitness,Chromosomes
0,0.0569703125,[2.81, 0.5, 2.19]
100,0.0,[3.0, 0.5, 2.19]
200,0.0,[3.0, 0.5, 2.19]
300,0.0,[3.0, 0.5, 2.19]
400,0.0,[3.0, 0.5, 2.19]
500,0.0,[3.0, 0.5, 2.19]
600,0.0,[3.0, 0.5, 2.19]
700,0.0,[3.0, 0.5, 2.19]
800,0.0,[3.0, 0.5, 2.19]
900,0.0,[3.0, 0.5, 2.19]
1000,0.0,[3.0, 0.5, 2.19]
1100,0.0,[3.0, 0.5, 2.19]
1200,0.0,[3.0, 0.5, 2.19]
1300,0.0,[3.0, 0.5, 2.19]
1400,0.0,[3.0, 0.5, 2.19]
1500,0.0,[3.0, 0.5, 2.19]
1600,0.0,[3.0, 0.5, 2.19]
1700,0.0,[3.0, 0.5, 2.19]
1800,0.0,[3.0, 0.5, 2.19]
1900,0.0,[3.0, 0.5, 2.19]
2000,0.0,[3.0, 0.5, 2.19]
2100,0.0,[3.0, 0.5, 2.19]
2200,0.0,[3.0, 0.5, 2.19]
2300,0.0,[3.0, 0.5, 2.19]
2400,0.0,[3.0, 0.5, 2.19]
2500,0.0,[3.0, 0.5, 2.19]
2600,0.0,[3.0, 0.5, 2.19]
2700,0.0,[3.0, 0.5, 2.19]
2800,0.0,[3.0, 0.5, 2.19]
2900,0.0,[3.0, 0.5, 2.19]
3000,0.0,[3.0, 0.5, 2.19]
3100,0.0,[3.0, 0.5, 2.19]
3200,0.0,[3.0, 0.5, 2.19]
3300,0.0,[3.0, 0.5, 2.19]
3400,0.0,[3.0, 0.5, 2.19]
3500,0.0,[3.0, 0.5, 2.19]
3600,0.0,[3.0, 0.5, 2.19]
3700,0.0,[3.0, 0.5, 2.19]
3800,0.0,[3.0, 0.5, 2.19]
3900,0.0,[3.0, 0.5, 2.19]
4000,0.0,[3.0, 0.5, 2.19]
4100,0.0,[3.0, 0.5, 2.19]
4200,0.0,[3.0, 0.5, 2.19]
4300,0.0,[3.0, 0.5, 2.19]
4400,0.0,[3.0, 0.5, 2.19]
4500,0.0,[3.0, 0.5, 2.19]
4600,0.0,[3.0, 0.5, 2.19]
4700,0.0,[3.0, 0.5, 2.19]
4800,0.0,[3.0, 0.5, 2.19]
4900,0.0,[3.0, 0.5, 2.19]
5000,0.0,[3.0, 0.5, 2.19]
5100,0.0,[3.0, 0.5, 2.19]
5200,0.0,[3.0, 0.5, 2.19]
5300,0.0,[3.0, 0.5, 2.19]
5400,0.0,[3.0, 0.5, 2.19]
5500,0.0,[3.0, 0.5, 2.19]
5600,0.0,[3.0, 0.5, 2.19]
5700,0.0,[3.0, 0.5, 2.19]
5800,0.0,[3.0, 0.5, 2.19]
5900,0.0,[3.0, 0.5, 2.19]
6000,0.0,[3.0, 0.5, 2.19]
6002,0.0,[3.0, 0.5, 2.19]
