Iteration,Fitness,Chromosome
0,15.7704592514,[-3.65, 0.09]
100,-86.3533345154,[-1.61, -2.71]
200,-86.6970156396,[-1.54, 3.04]
300,-86.6970156396,[-1.54, 3.04]
400,-86.6970156396,[-1.54, 3.04]
500,-86.6970156396,[-1.54, 3.04]
600,-92.3562849084,[5.04, 3.17]
700,-94.8549411311,[-1.77, -2.89]
800,-94.8549411311,[-1.77, -2.89]
900,-98.7933627399,[4.85, 2.96]
1000,-98.7933627399,[4.85, 2.96]
1100,-98.7933627399,[4.85, 2.96]
1200,-98.7933627399,[4.85, 2.96]
1300,-98.7933627399,[4.85, 2.96]
1400,-98.7933627399,[4.85, 2.96]
1500,-98.7933627399,[4.85, 2.96]
1600,-98.7933627399,[4.85, 2.96]
1700,-98.7933627399,[4.85, 2.96]
1800,-98.7933627399,[4.85, 2.96]
1900,-98.7933627399,[4.85, 2.96]
2000,-98.7933627399,[4.85, 2.96]
2100,-98.7933627399,[4.85, 2.96]
2200,-98.7933627399,[4.85, 2.96]
2300,-98.7933627399,[4.85, 2.96]
2400,-101.844708762,[-1.42, -3.23]
2500,-103.188600377,[4.84, 3.07]
2600,-103.188600377,[4.84, 3.07]
2700,-103.188600377,[4.84, 3.07]
2800,-103.188600377,[4.84, 3.07]
2900,-103.188600377,[4.84, 3.07]
3000,-103.188600377,[4.84, 3.07]
3100,-103.188600377,[4.84, 3.07]
3200,-103.188600377,[4.84, 3.07]
3300,-103.188600377,[4.84, 3.07]
3400,-103.188600377,[4.84, 3.07]
3500,-103.188600377,[4.84, 3.07]
3600,-103.188600377,[4.84, 3.07]
3700,-103.188600377,[4.84, 3.07]
3800,-103.188600377,[4.84, 3.07]
3900,-103.188600377,[4.84, 3.07]
4000,-103.188600377,[4.84, 3.07]
4100,-103.188600377,[4.84, 3.07]
4200,-103.188600377,[4.84, 3.07]
4300,-103.188600377,[4.84, 3.07]
4400,-103.188600377,[4.84, 3.07]
4500,-103.188600377,[4.84, 3.07]
4600,-103.188600377,[4.84, 3.07]
4700,-103.188600377,[4.84, 3.07]
4800,-103.188600377,[4.84, 3.07]
4900,-103.188600377,[4.84, 3.07]
5000,-103.188600377,[4.84, 3.07]
5100,-103.188600377,[4.84, 3.07]
5200,-103.188600377,[4.84, 3.07]
5300,-103.188600377,[4.84, 3.07]
5400,-103.188600377,[4.84, 3.07]
5500,-103.188600377,[4.84, 3.07]
5600,-103.188600377,[4.84, 3.07]
5700,-103.188600377,[4.84, 3.07]
5800,-103.188600377,[4.84, 3.07]
5900,-103.188600377,[4.84, 3.07]
6000,-103.188600377,[4.84, 3.07]
6100,-103.188600377,[4.84, 3.07]
6200,-103.188600377,[4.84, 3.07]
6300,-103.188600377,[4.84, 3.07]
6400,-103.188600377,[4.84, 3.07]
6500,-103.188600377,[4.84, 3.07]
6600,-103.188600377,[4.84, 3.07]
6700,-103.188600377,[4.84, 3.07]
6800,-103.730795987,[-1.73, -3.16]
6900,-103.730795987,[-1.73, -3.16]
7000,-103.730795987,[-1.73, -3.16]
7100,-103.730795987,[-1.73, -3.16]
7200,-103.730795987,[-1.73, -3.16]
7300,-103.730795987,[-1.73, -3.16]
7400,-103.730795987,[-1.73, -3.16]
7500,-103.730795987,[-1.73, -3.16]
7600,-103.730795987,[-1.73, -3.16]
7700,-103.730795987,[-1.73, -3.16]
7800,-103.730795987,[-1.73, -3.16]
7900,-103.730795987,[-1.73, -3.16]
8000,-103.730795987,[-1.73, -3.16]
8100,-103.730795987,[-1.73, -3.16]
8200,-103.730795987,[-1.73, -3.16]
8300,-103.730795987,[-1.73, -3.16]
8400,-103.730795987,[-1.73, -3.16]
8500,-103.730795987,[-1.73, -3.16]
8600,-103.730795987,[-1.73, -3.16]
8700,-103.730795987,[-1.73, -3.16]
8800,-103.730795987,[-1.73, -3.16]
8900,-105.012015318,[4.71, 3.04]
9000,-105.012015318,[4.71, 3.04]
9100,-105.012015318,[4.71, 3.04]
9200,-105.012015318,[4.71, 3.04]
9300,-105.012015318,[4.71, 3.04]
9400,-105.012015318,[4.71, 3.04]
9500,-105.012015318,[4.71, 3.04]
9600,-105.012015318,[4.71, 3.04]
9700,-105.012015318,[4.71, 3.04]
9800,-105.012015318,[4.71, 3.04]
9900,-105.012015318,[4.71, 3.04]
10000,-105.012015318,[4.71, 3.04]
10100,-105.012015318,[4.71, 3.04]
10200,-105.012015318,[4.71, 3.04]
10300,-105.012015318,[4.71, 3.04]
10400,-105.012015318,[4.71, 3.04]
10500,-105.012015318,[4.71, 3.04]
10600,-106.249186848,[-1.64, -3.11]
10700,-106.249186848,[-1.64, -3.11]
10800,-106.249186848,[-1.64, -3.11]
10900,-106.249186848,[-1.64, -3.11]
11000,-106.249186848,[-1.64, -3.11]
11100,-106.249186848,[-1.64, -3.11]
11200,-106.249186848,[-1.64, -3.11]
11300,-106.249186848,[-1.64, -3.11]
11400,-106.249186848,[-1.64, -3.11]
11500,-106.249186848,[-1.64, -3.11]
11600,-106.249186848,[-1.64, -3.11]
11700,-106.249186848,[-1.64, -3.11]
11800,-106.249186848,[-1.64, -3.11]
11900,-106.249186848,[-1.64, -3.11]
12000,-106.249186848,[-1.64, -3.11]
12100,-106.249186848,[-1.64, -3.11]
12200,-106.249186848,[-1.64, -3.11]
12300,-106.249186848,[-1.64, -3.11]
12400,-106.249186848,[-1.64, -3.11]
12500,-106.249186848,[-1.64, -3.11]
12600,-106.249186848,[-1.64, -3.11]
