Iteration,Fitness,Chromosomes
0,-105.590758353,[-1.49, -3.12, 3.69]
100,-106.763898939,[-1.58, -3.13, 3.69]
200,-106.763898939,[-1.58, -3.13, 3.69]
300,-106.763898939,[-1.58, -3.13, 3.69]
400,-106.763898939,[-1.58, -3.13, 3.69]
500,-106.763898939,[-1.58, -3.13, 3.69]
600,-106.763898939,[-1.58, -3.13, 3.69]
700,-106.763898939,[-1.58, -3.13, 3.69]
800,-106.763898939,[-1.58, -3.13, 3.69]
900,-106.763898939,[-1.58, -3.13, 3.69]
1000,-106.763898939,[-1.58, -3.13, 3.69]
1100,-106.763898939,[-1.58, -3.13, 3.69]
1200,-106.763898939,[-1.58, -3.13, 3.69]
1300,-106.763898939,[-1.58, -3.13, 3.69]
1400,-106.763898939,[-1.58, -3.13, 3.69]
1500,-106.763898939,[-1.58, -3.13, 3.69]
1600,-106.763898939,[-1.58, -3.13, 3.69]
1700,-106.763898939,[-1.58, -3.13, 3.69]
1800,-106.763898939,[-1.58, -3.13, 3.69]
1900,-106.763898939,[-1.58, -3.13, 3.69]
2000,-106.763898939,[-1.58, -3.13, 3.69]
2100,-106.763898939,[-1.58, -3.13, 3.69]
2200,-106.763898939,[-1.58, -3.13, 3.69]
2300,-106.763898939,[-1.58, -3.13, 3.69]
2400,-106.763898939,[-1.58, -3.13, 3.69]
2500,-106.763898939,[-1.58, -3.13, 3.69]
2600,-106.763898939,[-1.58, -3.13, 3.69]
2700,-106.763898939,[-1.58, -3.13, 3.69]
2800,-106.763898939,[-1.58, -3.13, 3.69]
2900,-106.763898939,[-1.58, -3.13, 3.69]
3000,-106.763898939,[-1.58, -3.13, 3.69]
3100,-106.763898939,[-1.58, -3.13, 3.69]
3200,-106.763898939,[-1.58, -3.13, 3.69]
3300,-106.763898939,[-1.58, -3.13, 3.69]
3400,-106.763898939,[-1.58, -3.13, 3.69]
3500,-106.763898939,[-1.58, -3.13, 3.69]
3600,-106.763898939,[-1.58, -3.13, 3.69]
3700,-106.763898939,[-1.58, -3.13, 3.69]
3800,-106.763898939,[-1.58, -3.13, 3.69]
3900,-106.763898939,[-1.58, -3.13, 3.69]
4000,-106.763898939,[-1.58, -3.13, 3.69]
4100,-106.763898939,[-1.58, -3.13, 3.69]
4200,-106.763898939,[-1.58, -3.13, 3.69]
4300,-106.763898939,[-1.58, -3.13, 3.69]
4400,-106.763898939,[-1.58, -3.13, 3.69]
4500,-106.763898939,[-1.58, -3.13, 3.69]
4600,-106.763898939,[-1.58, -3.13, 3.69]
4700,-106.763898939,[-1.58, -3.13, 3.69]
4800,-106.763898939,[-1.58, -3.13, 3.69]
4900,-106.763898939,[-1.58, -3.13, 3.69]
5000,-106.763898939,[-1.58, -3.13, 3.69]
5100,-106.763898939,[-1.58, -3.13, 3.69]
5200,-106.763898939,[-1.58, -3.13, 3.69]
5300,-106.763898939,[-1.58, -3.13, 3.69]
5400,-106.763898939,[-1.58, -3.13, 3.69]
5500,-106.763898939,[-1.58, -3.13, 3.69]
5600,-106.763898939,[-1.58, -3.13, 3.69]
5700,-106.763898939,[-1.58, -3.13, 3.69]
5800,-106.763898939,[-1.58, -3.13, 3.69]
5900,-106.763898939,[-1.58, -3.13, 3.69]
5996,-106.763898939,[-1.58, -3.13, 3.69]
