Iteration,Fitness,Chromosome
0,14485.0788185,[-67.03, 70.68]
100,126.705827868,[0.45, 7.92]
200,126.705827868,[0.45, 7.92]
300,12.3585135396,[0.47, 2.38]
400,12.3585135396,[0.47, 2.38]
500,12.3585135396,[0.47, 2.38]
600,12.3585135396,[0.47, 2.38]
700,12.3585135396,[0.47, 2.38]
800,12.3585135396,[0.47, 2.38]
900,12.3585135396,[0.47, 2.38]
1000,12.3585135396,[0.47, 2.38]
1100,12.3585135396,[0.47, 2.38]
1200,12.3585135396,[0.47, 2.38]
1300,12.3585135396,[0.47, 2.38]
1400,12.3585135396,[0.47, 2.38]
1500,12.3585135396,[0.47, 2.38]
1600,12.3585135396,[0.47, 2.38]
1700,12.3585135396,[0.47, 2.38]
1800,12.3585135396,[0.47, 2.38]
1900,12.3585135396,[0.47, 2.38]
2000,12.3585135396,[0.47, 2.38]
2100,12.3585135396,[0.47, 2.38]
2200,12.3585135396,[0.47, 2.38]
2300,12.3585135396,[0.47, 2.38]
2400,3.4038708258,[0.65, -1.21]
2500,3.4038708258,[0.65, -1.21]
2600,3.4038708258,[0.65, -1.21]
2700,3.4038708258,[0.65, -1.21]
2800,3.4038708258,[0.65, -1.21]
2900,3.4038708258,[0.65, -1.21]
3000,3.4038708258,[0.65, -1.21]
3100,3.4038708258,[0.65, -1.21]
3200,3.4038708258,[0.65, -1.21]
3300,3.4038708258,[0.65, -1.21]
3400,3.4038708258,[0.65, -1.21]
3500,3.4038708258,[0.65, -1.21]
3600,3.4038708258,[0.65, -1.21]
3700,3.4038708258,[0.65, -1.21]
3800,3.4038708258,[0.65, -1.21]
3900,3.4038708258,[0.65, -1.21]
4000,3.4038708258,[0.65, -1.21]
4100,3.25909830056,[1.6, 0.2]
4200,3.25909830056,[1.6, 0.2]
4300,3.25909830056,[1.6, 0.2]
4400,3.25909830056,[1.6, 0.2]
4500,3.25909830056,[1.6, 0.2]
4600,3.25909830056,[1.6, 0.2]
4700,3.25909830056,[1.6, 0.2]
4800,3.25909830056,[1.6, 0.2]
4900,3.25909830056,[1.6, 0.2]
5000,3.25909830056,[1.6, 0.2]
5100,3.25909830056,[1.6, 0.2]
5200,3.25909830056,[1.6, 0.2]
5300,3.25909830056,[1.6, 0.2]
5400,3.25909830056,[1.6, 0.2]
5500,3.25909830056,[1.6, 0.2]
5600,3.25909830056,[1.6, 0.2]
5700,3.25909830056,[1.6, 0.2]
5800,3.25909830056,[1.6, 0.2]
5900,3.25909830056,[1.6, 0.2]
6000,3.25909830056,[1.6, 0.2]
6100,3.25909830056,[1.6, 0.2]
6200,3.25909830056,[1.6, 0.2]
6300,3.25909830056,[1.6, 0.2]
6400,3.25909830056,[1.6, 0.2]
6500,3.25909830056,[1.6, 0.2]
6600,3.25909830056,[1.6, 0.2]
6700,3.25909830056,[1.6, 0.2]
6800,3.25909830056,[1.6, 0.2]
6900,3.25909830056,[1.6, 0.2]
7000,3.25909830056,[1.6, 0.2]
7100,3.25909830056,[1.6, 0.2]
7200,3.25909830056,[1.6, 0.2]
7300,3.25909830056,[1.6, 0.2]
7400,3.25909830056,[1.6, 0.2]
7500,3.25909830056,[1.6, 0.2]
7600,3.25909830056,[1.6, 0.2]
7700,3.25909830056,[1.6, 0.2]
7800,3.25909830056,[1.6, 0.2]
7900,3.25909830056,[1.6, 0.2]
8000,3.25909830056,[1.6, 0.2]
8100,3.25909830056,[1.6, 0.2]
8200,3.25909830056,[1.6, 0.2]
8300,3.25909830056,[1.6, 0.2]
8400,3.25909830056,[1.6, 0.2]
8500,3.25909830056,[1.6, 0.2]
8600,3.25909830056,[1.6, 0.2]
8700,3.25909830056,[1.6, 0.2]
8800,3.25909830056,[1.6, 0.2]
8900,3.25909830056,[1.6, 0.2]
9000,3.25909830056,[1.6, 0.2]
9100,3.25909830056,[1.6, 0.2]
9200,3.25909830056,[1.6, 0.2]
9300,3.25909830056,[1.6, 0.2]
9400,3.25909830056,[1.6, 0.2]
9500,3.25909830056,[1.6, 0.2]
9600,3.25909830056,[1.6, 0.2]
9700,3.25909830056,[1.6, 0.2]
9800,3.25909830056,[1.6, 0.2]
9900,3.25909830056,[1.6, 0.2]
10000,3.25909830056,[1.6, 0.2]
10100,3.25909830056,[1.6, 0.2]
10200,3.25909830056,[1.6, 0.2]
10300,3.25909830056,[1.6, 0.2]
10400,3.25909830056,[1.6, 0.2]
10500,3.25909830056,[1.6, 0.2]
10600,3.25909830056,[1.6, 0.2]
10700,3.25909830056,[1.6, 0.2]
10800,3.25909830056,[1.6, 0.2]
10900,3.25909830056,[1.6, 0.2]
11000,3.25909830056,[1.6, 0.2]
11100,3.25909830056,[1.6, 0.2]
11200,3.25909830056,[1.6, 0.2]
11300,3.25909830056,[1.6, 0.2]
11400,3.25909830056,[1.6, 0.2]
11500,3.25909830056,[1.6, 0.2]
11600,3.25909830056,[1.6, 0.2]
11700,3.25909830056,[1.6, 0.2]
11800,3.25909830056,[1.6, 0.2]
11900,3.25909830056,[1.6, 0.2]
12000,3.25909830056,[1.6, 0.2]
12100,3.25909830056,[1.6, 0.2]
12200,3.25909830056,[1.6, 0.2]
12300,3.25909830056,[1.6, 0.2]
12400,3.25909830056,[1.6, 0.2]
12500,3.25909830056,[1.6, 0.2]
12600,3.25909830056,[1.6, 0.2]
12700,3.25909830056,[1.6, 0.2]
12800,3.25909830056,[1.6, 0.2]
12900,3.25909830056,[1.6, 0.2]
13000,3.25909830056,[1.6, 0.2]
13100,3.25909830056,[1.6, 0.2]
13200,3.25909830056,[1.6, 0.2]
13300,3.25909830056,[1.6, 0.2]
13400,3.25909830056,[1.6, 0.2]
13500,3.25909830056,[1.6, 0.2]
13600,3.25909830056,[1.6, 0.2]
13700,3.25909830056,[1.6, 0.2]
13800,3.25909830056,[1.6, 0.2]
13900,3.25909830056,[1.6, 0.2]
14000,3.25909830056,[1.6, 0.2]
14100,3.25909830056,[1.6, 0.2]
14200,3.25909830056,[1.6, 0.2]
14300,3.25909830056,[1.6, 0.2]
14400,3.25909830056,[1.6, 0.2]
14500,3.25909830056,[1.6, 0.2]
14600,3.25909830056,[1.6, 0.2]
14700,3.25909830056,[1.6, 0.2]
14800,3.25909830056,[1.6, 0.2]
14900,3.25909830056,[1.6, 0.2]
15000,3.25909830056,[1.6, 0.2]
15100,3.25909830056,[1.6, 0.2]
15200,3.25909830056,[1.6, 0.2]
15300,3.25909830056,[1.6, 0.2]
15400,3.25909830056,[1.6, 0.2]
15500,3.25909830056,[1.6, 0.2]
15600,3.25909830056,[1.6, 0.2]
15700,3.25909830056,[1.6, 0.2]
15800,3.25909830056,[1.6, 0.2]
15900,3.25909830056,[1.6, 0.2]
16000,3.25909830056,[1.6, 0.2]
16100,3.25909830056,[1.6, 0.2]
16200,3.25909830056,[1.6, 0.2]
16300,3.25909830056,[1.6, 0.2]
16400,3.25909830056,[1.6, 0.2]
16500,3.25909830056,[1.6, 0.2]
16600,3.25909830056,[1.6, 0.2]
16700,3.25909830056,[1.6, 0.2]
16800,3.25909830056,[1.6, 0.2]
16900,3.25909830056,[1.6, 0.2]
17000,3.25909830056,[1.6, 0.2]
17100,3.25909830056,[1.6, 0.2]
17200,3.25909830056,[1.6, 0.2]
17300,3.25909830056,[1.6, 0.2]
17400,3.25909830056,[1.6, 0.2]
17500,3.25909830056,[1.6, 0.2]
17600,1.14976331196,[-0.31, 0.34]
17700,1.14976331196,[-0.31, 0.34]
17800,1.14976331196,[-0.31, 0.34]
17900,1.14976331196,[-0.31, 0.34]
18000,1.14976331196,[-0.31, 0.34]
18100,1.14976331196,[-0.31, 0.34]
18200,1.14976331196,[-0.31, 0.34]
18300,1.14976331196,[-0.31, 0.34]
18400,1.14976331196,[-0.31, 0.34]
18500,1.14976331196,[-0.31, 0.34]
18600,1.14976331196,[-0.31, 0.34]
18700,1.14976331196,[-0.31, 0.34]
18800,1.14976331196,[-0.31, 0.34]
18900,1.14976331196,[-0.31, 0.34]
19000,1.14976331196,[-0.31, 0.34]
19100,1.14976331196,[-0.31, 0.34]
19200,1.14976331196,[-0.31, 0.34]
19300,1.14976331196,[-0.31, 0.34]
19400,1.14976331196,[-0.31, 0.34]
19500,1.14976331196,[-0.31, 0.34]
19600,1.14976331196,[-0.31, 0.34]
19700,1.14976331196,[-0.31, 0.34]
19800,1.14976331196,[-0.31, 0.34]
19900,1.14976331196,[-0.31, 0.34]
