Iteration,Fitness,Chromosomes
0,54.8775965698,[7.22, 0.96, 87.95]
100,0.138354119474,[0.0, 0.26, 87.95]
200,0.118354119474,[0.0, -0.24, 87.95]
300,0.118354119474,[0.0, -0.24, 87.95]
400,0.118354119474,[0.0, -0.24, 87.95]
500,0.118354119474,[0.0, -0.24, 87.95]
600,0.118354119474,[0.0, -0.24, 87.95]
700,0.118354119474,[0.0, -0.24, 87.95]
800,0.118354119474,[0.0, -0.24, 87.95]
900,0.118354119474,[0.0, -0.24, 87.95]
1000,0.118354119474,[0.0, -0.24, 87.95]
1100,0.118354119474,[0.0, -0.24, 87.95]
1200,0.118354119474,[0.0, -0.24, 87.95]
1300,0.118354119474,[0.0, -0.24, 87.95]
1400,0.118354119474,[0.0, -0.24, 87.95]
1500,0.118354119474,[0.0, -0.24, 87.95]
1600,0.118354119474,[0.0, -0.24, 87.95]
1700,0.118354119474,[0.0, -0.24, 87.95]
1800,0.118354119474,[0.0, -0.24, 87.95]
1900,0.118354119474,[0.0, -0.24, 87.95]
2000,0.118354119474,[0.0, -0.24, 87.95]
2100,0.118354119474,[0.0, -0.24, 87.95]
2200,0.118354119474,[0.0, -0.24, 87.95]
2300,0.118354119474,[0.0, -0.24, 87.95]
2400,0.118354119474,[0.0, -0.24, 87.95]
2500,0.118354119474,[0.0, -0.24, 87.95]
2600,0.118354119474,[0.0, -0.24, 87.95]
2700,0.118354119474,[0.0, -0.24, 87.95]
2800,0.118354119474,[0.0, -0.24, 87.95]
2900,0.118354119474,[0.0, -0.24, 87.95]
3000,0.118354119474,[0.0, -0.24, 87.95]
3100,0.118354119474,[0.0, -0.24, 87.95]
3200,0.118354119474,[0.0, -0.24, 87.95]
3300,0.118354119474,[0.0, -0.24, 87.95]
3400,0.118354119474,[0.0, -0.24, 87.95]
3500,0.118354119474,[0.0, -0.24, 87.95]
3600,0.118354119474,[0.0, -0.24, 87.95]
3700,0.118354119474,[0.0, -0.24, 87.95]
3800,0.118354119474,[0.0, -0.24, 87.95]
3900,0.118354119474,[0.0, -0.24, 87.95]
4000,0.118354119474,[0.0, -0.24, 87.95]
4100,0.118354119474,[0.0, -0.24, 87.95]
4200,0.118354119474,[0.0, -0.24, 87.95]
4300,0.118354119474,[0.0, -0.24, 87.95]
4400,0.118354119474,[0.0, -0.24, 87.95]
4500,0.118354119474,[0.0, -0.24, 87.95]
4600,0.118354119474,[0.0, -0.24, 87.95]
4700,0.118354119474,[0.0, -0.24, 87.95]
4800,0.118354119474,[0.0, -0.24, 87.95]
4900,0.118354119474,[0.0, -0.24, 87.95]
5000,0.118354119474,[0.0, -0.24, 87.95]
5100,0.118354119474,[0.0, -0.24, 87.95]
5200,0.118354119474,[0.0, -0.24, 87.95]
5300,0.118354119474,[0.0, -0.24, 87.95]
5400,0.118354119474,[0.0, -0.24, 87.95]
5500,0.118354119474,[0.0, -0.24, 87.95]
5600,0.118354119474,[0.0, -0.24, 87.95]
5700,0.118354119474,[0.0, -0.24, 87.95]
5800,0.118354119474,[0.0, -0.24, 87.95]
5900,0.118354119474,[0.0, -0.24, 87.95]
5988,0.118354119474,[0.0, -0.24, 87.95]
