Iteration,Fitness,Chromosome
0,369.8405,[-7.48, 2.85]
100,5.3442,[1.83, 1.43]
200,2.7306,[1.91, 2.77]
300,2.1305,[0.9, 2.43]
400,2.1305,[0.9, 2.43]
500,0.2313,[0.86, 3.31]
600,0.2313,[0.86, 3.31]
700,0.2313,[0.86, 3.31]
800,0.2313,[0.86, 3.31]
900,0.1193,[1.02, 2.83]
1000,0.1193,[1.02, 2.83]
1100,0.1193,[1.02, 2.83]
1200,0.1193,[1.02, 2.83]
1300,0.1193,[1.02, 2.83]
1400,0.1193,[1.02, 2.83]
1500,0.1193,[1.02, 2.83]
1600,0.1193,[1.02, 2.83]
1700,0.1193,[1.02, 2.83]
1800,0.1193,[1.02, 2.83]
1900,0.1193,[1.02, 2.83]
2000,0.1193,[1.02, 2.83]
2100,0.1193,[1.02, 2.83]
2200,0.1193,[1.02, 2.83]
2300,0.1193,[1.02, 2.83]
2400,0.1193,[1.02, 2.83]
2500,0.1193,[1.02, 2.83]
2600,0.1193,[1.02, 2.83]
2700,0.1193,[1.02, 2.83]
2800,0.1193,[1.02, 2.83]
2900,0.1193,[1.02, 2.83]
3000,0.1193,[1.02, 2.83]
3100,0.1193,[1.02, 2.83]
3200,0.1193,[1.02, 2.83]
3300,0.1193,[1.02, 2.83]
3400,0.1193,[1.02, 2.83]
3500,0.1193,[1.02, 2.83]
3600,0.1193,[1.02, 2.83]
3700,0.1193,[1.02, 2.83]
3800,0.1193,[1.02, 2.83]
3900,0.1193,[1.02, 2.83]
4000,0.1193,[1.02, 2.83]
4100,0.1193,[1.02, 2.83]
4200,0.1193,[1.02, 2.83]
4300,0.1193,[1.02, 2.83]
4400,0.1193,[1.02, 2.83]
4500,0.1193,[1.02, 2.83]
4600,0.1193,[1.02, 2.83]
4700,0.1193,[1.02, 2.83]
4800,0.1193,[1.02, 2.83]
4900,0.0261,[0.91, 3.12]
5000,0.0261,[0.91, 3.12]
5100,0.0261,[0.91, 3.12]
5200,0.0261,[0.91, 3.12]
5300,0.0261,[0.91, 3.12]
5400,0.0261,[0.91, 3.12]
5500,0.0261,[0.91, 3.12]
5600,0.0261,[0.91, 3.12]
5700,0.0261,[0.91, 3.12]
5800,0.0261,[0.91, 3.12]
5900,0.0261,[0.91, 3.12]
6000,0.0261,[0.91, 3.12]
6100,0.0261,[0.91, 3.12]
6200,0.0261,[0.91, 3.12]
6300,0.0261,[0.91, 3.12]
6400,0.0261,[0.91, 3.12]
6500,0.0261,[0.91, 3.12]
6600,0.0261,[0.91, 3.12]
6700,0.0261,[0.91, 3.12]
6800,0.0261,[0.91, 3.12]
6900,0.0261,[0.91, 3.12]
7000,0.0261,[0.91, 3.12]
7100,0.0261,[0.91, 3.12]
7200,0.0261,[0.91, 3.12]
7300,0.0261,[0.91, 3.12]
7400,0.0261,[0.91, 3.12]
7500,0.0261,[0.91, 3.12]
7600,0.0261,[0.91, 3.12]
7700,0.0261,[0.91, 3.12]
7800,0.0261,[0.91, 3.12]
7900,0.0261,[0.91, 3.12]
8000,0.0261,[0.91, 3.12]
8100,0.0261,[0.91, 3.12]
8200,0.0261,[0.91, 3.12]
8300,0.0261,[0.91, 3.12]
8400,0.0261,[0.91, 3.12]
8500,0.0261,[0.91, 3.12]
8600,0.0261,[0.91, 3.12]
8700,0.0261,[0.91, 3.12]
8800,0.0261,[0.91, 3.12]
8900,0.0261,[0.91, 3.12]
9000,0.0261,[0.91, 3.12]
9100,0.0261,[0.91, 3.12]
9200,0.0261,[0.91, 3.12]
9300,0.0261,[0.91, 3.12]
9400,0.0261,[0.91, 3.12]
9500,0.0261,[0.91, 3.12]
9600,0.0261,[0.91, 3.12]
9700,0.0261,[0.91, 3.12]
9800,0.0261,[0.91, 3.12]
9900,0.0261,[0.91, 3.12]
10000,0.0261,[0.91, 3.12]
10100,0.0261,[0.91, 3.12]
10200,0.0261,[0.91, 3.12]
10300,0.0261,[0.91, 3.12]
10400,0.0261,[0.91, 3.12]
10500,0.0261,[0.91, 3.12]
10600,0.0153,[1.02, 2.93]
10700,0.0153,[1.02, 2.93]
10800,0.0153,[1.02, 2.93]
10900,0.0153,[1.02, 2.93]
11000,0.0153,[1.02, 2.93]
11100,0.0153,[1.02, 2.93]
11200,0.0153,[1.02, 2.93]
11300,0.0153,[1.02, 2.93]
11400,0.0153,[1.02, 2.93]
11500,0.0153,[1.02, 2.93]
11600,0.0153,[1.02, 2.93]
11700,0.0153,[1.02, 2.93]
11800,0.0153,[1.02, 2.93]
11900,0.0153,[1.02, 2.93]
12000,0.0153,[1.02, 2.93]
12100,0.0153,[1.02, 2.93]
12200,0.0153,[1.02, 2.93]
12300,0.0153,[1.02, 2.93]
12400,0.0153,[1.02, 2.93]
12500,0.0153,[1.02, 2.93]
12600,0.0153,[1.02, 2.93]
12700,0.0153,[1.02, 2.93]
12800,0.0153,[1.02, 2.93]
12900,0.0153,[1.02, 2.93]
13000,0.0153,[1.02, 2.93]
13100,0.0153,[1.02, 2.93]
13200,0.0153,[1.02, 2.93]
13300,0.0153,[1.02, 2.93]
13400,0.0153,[1.02, 2.93]
13500,0.0153,[1.02, 2.93]
13600,0.0153,[1.02, 2.93]
13700,0.0153,[1.02, 2.93]
13800,0.0153,[1.02, 2.93]
13900,0.0153,[1.02, 2.93]
14000,0.0153,[1.02, 2.93]
14100,0.0153,[1.02, 2.93]
14200,0.0153,[1.02, 2.93]
14300,0.0153,[1.02, 2.93]
14400,0.0153,[1.02, 2.93]
14500,0.0153,[1.02, 2.93]
14600,0.0153,[1.02, 2.93]
14700,0.0153,[1.02, 2.93]
14800,0.0153,[1.02, 2.93]
14900,0.0153,[1.02, 2.93]
15000,0.0153,[1.02, 2.93]
15100,0.0153,[1.02, 2.93]
15200,0.0153,[1.02, 2.93]
15300,0.0153,[1.02, 2.93]
15400,0.0153,[1.02, 2.93]
15500,0.0153,[1.02, 2.93]
15600,0.0153,[1.02, 2.93]
15700,0.0153,[1.02, 2.93]
15800,0.0153,[1.02, 2.93]
15900,0.0153,[1.02, 2.93]
16000,0.0153,[1.02, 2.93]
16100,0.0153,[1.02, 2.93]
16200,0.0153,[1.02, 2.93]
16300,0.0153,[1.02, 2.93]
16400,0.0153,[1.02, 2.93]
16500,0.0153,[1.02, 2.93]
16600,0.0153,[1.02, 2.93]
16700,0.0153,[1.02, 2.93]
16800,0.0153,[1.02, 2.93]
16900,0.0153,[1.02, 2.93]
17000,0.0153,[1.02, 2.93]
17100,0.0153,[1.02, 2.93]
17200,0.0153,[1.02, 2.93]
17300,0.0153,[1.02, 2.93]
17400,0.0153,[1.02, 2.93]
17500,0.0153,[1.02, 2.93]
17600,0.0153,[1.02, 2.93]
17700,0.0153,[1.02, 2.93]
17800,0.0153,[1.02, 2.93]
17900,0.0153,[1.02, 2.93]
18000,0.0153,[1.02, 2.93]
18100,0.0153,[1.02, 2.93]
18200,0.0153,[1.02, 2.93]
18300,0.0153,[1.02, 2.93]
18400,0.0153,[1.02, 2.93]
18500,0.0153,[1.02, 2.93]
18600,0.0153,[1.02, 2.93]
18700,0.0153,[1.02, 2.93]
18800,0.0153,[1.02, 2.93]
18900,0.0153,[1.02, 2.93]
19000,0.0153,[1.02, 2.93]
19100,0.0153,[1.02, 2.93]
19200,0.0153,[1.02, 2.93]
19300,0.0153,[1.02, 2.93]
19400,0.0153,[1.02, 2.93]
19500,0.0153,[1.02, 2.93]
19600,0.0153,[1.02, 2.93]
19700,0.0153,[1.02, 2.93]
19800,0.0153,[1.02, 2.93]
19900,0.0153,[1.02, 2.93]
