Iteration,Fitness,Chromosome
0,0.14,[1.42, 3.81, 1.91]
100,0.0,[8.72, 10.67, 9.69]
200,0.0,[8.72, 10.67, 9.69]
300,0.0,[8.72, 10.67, 9.69]
400,0.0,[8.72, 10.67, 9.69]
500,0.0,[8.72, 10.67, 9.69]
600,0.0,[8.72, 10.67, 9.69]
700,0.0,[8.72, 10.67, 9.69]
800,0.0,[8.72, 10.67, 9.69]
900,0.0,[8.72, 10.67, 9.69]
1000,0.0,[8.72, 10.67, 9.69]
1100,0.0,[8.72, 10.67, 9.69]
1200,0.0,[8.72, 10.67, 9.69]
1300,0.0,[8.72, 10.67, 9.69]
1400,0.0,[8.72, 10.67, 9.69]
1500,0.0,[8.72, 10.67, 9.69]
1600,0.0,[8.72, 10.67, 9.69]
1700,0.0,[8.72, 10.67, 9.69]
1800,0.0,[8.72, 10.67, 9.69]
1900,0.0,[8.72, 10.67, 9.69]
2000,0.0,[8.72, 10.67, 9.69]
2100,0.0,[8.72, 10.67, 9.69]
2200,0.0,[8.72, 10.67, 9.69]
2300,0.0,[8.72, 10.67, 9.69]
2400,0.0,[8.72, 10.67, 9.69]
2500,0.0,[8.72, 10.67, 9.69]
2600,0.0,[8.72, 10.67, 9.69]
2700,0.0,[8.72, 10.67, 9.69]
2800,0.0,[8.72, 10.67, 9.69]
2900,0.0,[8.72, 10.67, 9.69]
3000,0.0,[8.72, 10.67, 9.69]
3100,0.0,[8.72, 10.67, 9.69]
3200,0.0,[8.72, 10.67, 9.69]
3300,0.0,[8.72, 10.67, 9.69]
3400,0.0,[8.72, 10.67, 9.69]
3500,0.0,[8.72, 10.67, 9.69]
3600,0.0,[8.72, 10.67, 9.69]
3700,0.0,[8.72, 10.67, 9.69]
3800,0.0,[8.72, 10.67, 9.69]
3900,0.0,[8.72, 10.67, 9.69]
4000,0.0,[8.72, 10.67, 9.69]
4100,0.0,[8.72, 10.67, 9.69]
4200,0.0,[8.72, 10.67, 9.69]
4300,0.0,[8.72, 10.67, 9.69]
4400,0.0,[8.72, 10.67, 9.69]
4500,0.0,[8.72, 10.67, 9.69]
4600,0.0,[8.72, 10.67, 9.69]
4700,0.0,[8.72, 10.67, 9.69]
4800,0.0,[8.72, 10.67, 9.69]
4900,0.0,[8.72, 10.67, 9.69]
5000,0.0,[8.72, 10.67, 9.69]
5100,0.0,[8.72, 10.67, 9.69]
5200,0.0,[8.72, 10.67, 9.69]
5300,0.0,[8.72, 10.67, 9.69]
5400,0.0,[8.72, 10.67, 9.69]
5500,0.0,[8.72, 10.67, 9.69]
5600,0.0,[8.72, 10.67, 9.69]
5700,0.0,[8.72, 10.67, 9.69]
5800,0.0,[8.72, 10.67, 9.69]
5900,0.0,[8.72, 10.67, 9.69]
6000,0.0,[8.72, 10.67, 9.69]
6100,0.0,[8.72, 10.67, 9.69]
6200,0.0,[8.72, 10.67, 9.69]
6300,0.0,[8.72, 10.67, 9.69]
6400,0.0,[8.72, 10.67, 9.69]
6500,0.0,[8.72, 10.67, 9.69]
6600,0.0,[8.72, 10.67, 9.69]
6700,0.0,[8.72, 10.67, 9.69]
6800,0.0,[8.72, 10.67, 9.69]
6900,0.0,[8.72, 10.67, 9.69]
7000,0.0,[8.72, 10.67, 9.69]
7100,0.0,[8.72, 10.67, 9.69]
7200,0.0,[8.72, 10.67, 9.69]
7300,0.0,[8.72, 10.67, 9.69]
7400,0.0,[8.72, 10.67, 9.69]
7500,0.0,[8.72, 10.67, 9.69]
7600,0.0,[8.72, 10.67, 9.69]
7700,0.0,[8.72, 10.67, 9.69]
7800,0.0,[8.72, 10.67, 9.69]
7900,0.0,[8.72, 10.67, 9.69]
8000,0.0,[8.72, 10.67, 9.69]
8100,0.0,[8.72, 10.67, 9.69]
8200,0.0,[8.72, 10.67, 9.69]
8300,0.0,[8.72, 10.67, 9.69]
8400,0.0,[8.72, 10.67, 9.69]
8500,0.0,[8.72, 10.67, 9.69]
8600,0.0,[8.72, 10.67, 9.69]
8700,0.0,[8.72, 10.67, 9.69]
8800,0.0,[8.72, 10.67, 9.69]
8900,0.0,[8.72, 10.67, 9.69]
9000,0.0,[8.72, 10.67, 9.69]
9100,0.0,[8.72, 10.67, 9.69]
9200,0.0,[8.72, 10.67, 9.69]
9300,0.0,[8.72, 10.67, 9.69]
9400,0.0,[8.72, 10.67, 9.69]
9500,0.0,[8.72, 10.67, 9.69]
9600,0.0,[8.72, 10.67, 9.69]
9700,0.0,[8.72, 10.67, 9.69]
9800,0.0,[8.72, 10.67, 9.69]
9900,0.0,[8.72, 10.67, 9.69]
10000,0.0,[8.72, 10.67, 9.69]
10100,0.0,[8.72, 10.67, 9.69]
10200,0.0,[8.72, 10.67, 9.69]
10300,0.0,[8.72, 10.67, 9.69]
