Iteration,Fitness,Chromosomes
0,0.686351121022,[9.66, 10.16, 9.06]
100,0.398569273489,[-3.13, 9.88, 4.15]
200,0.398007160951,[-3.14, 9.88, 4.15]
300,0.398007160951,[-3.14, 9.88, 4.15]
400,0.398007160951,[-3.14, 9.88, 4.15]
500,0.398007160951,[-3.14, 9.88, 4.15]
600,0.39789967589,[-3.14, 9.89, 4.15]
700,0.39789967589,[-3.14, 9.89, 4.15]
800,0.39789967589,[-3.14, 9.89, 4.15]
900,0.39789967589,[-3.14, 9.89, 4.15]
1000,0.39789967589,[-3.14, 9.89, 4.15]
1100,0.39789967589,[-3.14, 9.89, 4.15]
1200,0.39789967589,[-3.14, 9.89, 4.15]
1300,0.39789967589,[-3.14, 9.89, 4.15]
1400,0.39789967589,[-3.14, 9.89, 4.15]
1500,0.39789967589,[-3.14, 9.89, 4.15]
1600,0.39789967589,[-3.14, 9.89, 4.15]
1700,0.39789967589,[-3.14, 9.89, 4.15]
1800,0.39789967589,[-3.14, 9.89, 4.15]
1900,0.39789967589,[-3.14, 9.89, 4.15]
2000,0.39789967589,[-3.14, 9.89, 4.15]
2100,0.39789967589,[-3.14, 9.89, 4.15]
2200,0.39789967589,[-3.14, 9.89, 4.15]
2300,0.39789967589,[-3.14, 9.89, 4.15]
2400,0.39789967589,[-3.14, 9.89, 4.15]
2500,0.39789967589,[-3.14, 9.89, 4.15]
2600,0.39789967589,[-3.14, 9.89, 4.15]
2700,0.39789967589,[-3.14, 9.89, 4.15]
2800,0.39789967589,[-3.14, 9.89, 4.15]
2900,0.39789967589,[-3.14, 9.89, 4.15]
3000,0.39789967589,[-3.14, 9.89, 4.15]
3100,0.39789967589,[-3.14, 9.89, 4.15]
3200,0.39789967589,[-3.14, 9.89, 4.15]
3300,0.39789967589,[-3.14, 9.89, 4.15]
3400,0.39789967589,[-3.14, 9.89, 4.15]
3500,0.39789967589,[-3.14, 9.89, 4.15]
3600,0.39789967589,[-3.14, 9.89, 4.15]
3700,0.39789967589,[-3.14, 9.89, 4.15]
3800,0.39789967589,[-3.14, 9.89, 4.15]
3900,0.39789967589,[-3.14, 9.89, 4.15]
4000,0.39789967589,[-3.14, 9.89, 4.15]
4100,0.39789967589,[-3.14, 9.89, 4.15]
4200,0.39789967589,[-3.14, 9.89, 4.15]
4300,0.39789967589,[-3.14, 9.89, 4.15]
4400,0.39789967589,[-3.14, 9.89, 4.15]
4500,0.39789967589,[-3.14, 9.89, 4.15]
4600,0.39789967589,[-3.14, 9.89, 4.15]
4700,0.39789967589,[-3.14, 9.89, 4.15]
4800,0.39789967589,[-3.14, 9.89, 4.15]
4900,0.39789967589,[-3.14, 9.89, 4.15]
5000,0.39789967589,[-3.14, 9.89, 4.15]
5100,0.39789967589,[-3.14, 9.89, 4.15]
5200,0.39789967589,[-3.14, 9.89, 4.15]
5300,0.39789967589,[-3.14, 9.89, 4.15]
5400,0.39789967589,[-3.14, 9.89, 4.15]
5500,0.39789967589,[-3.14, 9.89, 4.15]
5600,0.39789967589,[-3.14, 9.89, 4.15]
5700,0.39789967589,[-3.14, 9.89, 4.15]
5800,0.39789967589,[-3.14, 9.89, 4.15]
5900,0.39789967589,[-3.14, 9.89, 4.15]
6000,0.39789967589,[-3.14, 9.89, 4.15]
6009,0.39789967589,[-3.14, 9.89, 4.15]
