Iteration,Fitness,Chromosome
0,286.001,[6.91, -9.77]
100,0.7816,[-9.46, -9.3]
200,0.7816,[-9.46, -9.3]
300,0.7816,[-9.46, -9.3]
400,0.7816,[-9.46, -9.3]
500,0.7816,[-9.46, -9.3]
600,0.7816,[-9.46, -9.3]
700,0.7816,[-9.46, -9.3]
800,0.7816,[-9.46, -9.3]
900,0.0754,[-9.95, -9.73]
1000,0.0754,[-9.95, -9.73]
1100,0.0754,[-9.95, -9.73]
1200,0.0754,[-9.95, -9.73]
1300,0.0754,[-9.95, -9.73]
1400,0.0754,[-9.95, -9.73]
1500,0.0754,[-9.95, -9.73]
1600,0.0754,[-9.95, -9.73]
1700,0.0754,[-9.95, -9.73]
1800,0.0754,[-9.95, -9.73]
1900,0.0754,[-9.95, -9.73]
2000,0.0754,[-9.95, -9.73]
2100,0.0754,[-9.95, -9.73]
2200,0.0754,[-9.95, -9.73]
2300,0.0754,[-9.95, -9.73]
2400,0.0754,[-9.95, -9.73]
2500,0.0754,[-9.95, -9.73]
2600,0.0754,[-9.95, -9.73]
2700,0.0754,[-9.95, -9.73]
2800,0.0754,[-9.95, -9.73]
2900,0.0754,[-9.95, -9.73]
3000,0.0754,[-9.95, -9.73]
3100,0.0754,[-9.95, -9.73]
3200,0.0754,[-9.95, -9.73]
3300,0.0754,[-9.95, -9.73]
3400,0.0754,[-9.95, -9.73]
3500,0.0754,[-9.95, -9.73]
3600,0.0754,[-9.95, -9.73]
3700,0.0754,[-9.95, -9.73]
3800,0.0754,[-9.95, -9.73]
3900,0.0754,[-9.95, -9.73]
4000,0.0754,[-9.95, -9.73]
4100,0.0754,[-9.95, -9.73]
4200,0.0754,[-9.95, -9.73]
4300,0.0754,[-9.95, -9.73]
4400,0.0754,[-9.95, -9.73]
4500,0.0754,[-9.95, -9.73]
4600,0.0754,[-9.95, -9.73]
4700,0.0754,[-9.95, -9.73]
4800,0.0754,[-9.95, -9.73]
4900,0.0754,[-9.95, -9.73]
5000,0.0754,[-9.95, -9.73]
5100,0.0754,[-9.95, -9.73]
5200,0.0754,[-9.95, -9.73]
5300,0.0754,[-9.95, -9.73]
5400,0.0754,[-9.95, -9.73]
5500,0.0754,[-9.95, -9.73]
5600,0.0754,[-9.95, -9.73]
5700,0.0754,[-9.95, -9.73]
5800,0.0754,[-9.95, -9.73]
5900,0.0754,[-9.95, -9.73]
6000,0.0274,[-9.85, -9.93]
6100,0.0274,[-9.85, -9.93]
6200,0.0274,[-9.85, -9.93]
6300,0.0274,[-9.85, -9.93]
6400,0.0274,[-9.85, -9.93]
6500,0.0274,[-9.85, -9.93]
6600,0.0274,[-9.85, -9.93]
6700,0.0274,[-9.85, -9.93]
6800,0.0274,[-9.85, -9.93]
6900,0.0274,[-9.85, -9.93]
7000,0.0274,[-9.85, -9.93]
7100,0.0274,[-9.85, -9.93]
7200,0.0274,[-9.85, -9.93]
7300,0.0274,[-9.85, -9.93]
7400,0.0274,[-9.85, -9.93]
7500,0.0274,[-9.85, -9.93]
7600,0.0274,[-9.85, -9.93]
7700,0.0274,[-9.85, -9.93]
