Iteration,Fitness,Chromosomes
0,1.5509,[-8.78, -9.75, -3.66]
100,0.0001,[-9.99, -10.0, -3.66]
200,1.38389652674e-87,[-10.0, -10.0, -3.66]
300,1.38389652674e-87,[-10.0, -10.0, -3.66]
400,1.38389652674e-87,[-10.0, -10.0, -3.66]
500,1.38389652674e-87,[-10.0, -10.0, -3.66]
600,1.38389652674e-87,[-10.0, -10.0, -3.66]
700,1.38389652674e-87,[-10.0, -10.0, -3.66]
800,1.38389652674e-87,[-10.0, -10.0, -3.66]
900,1.38389652674e-87,[-10.0, -10.0, -3.66]
1000,1.38389652674e-87,[-10.0, -10.0, -3.66]
1100,1.38389652674e-87,[-10.0, -10.0, -3.66]
1200,1.38389652674e-87,[-10.0, -10.0, -3.66]
1300,1.38389652674e-87,[-10.0, -10.0, -3.66]
1400,1.38389652674e-87,[-10.0, -10.0, -3.66]
1500,1.38389652674e-87,[-10.0, -10.0, -3.66]
1600,1.38389652674e-87,[-10.0, -10.0, -3.66]
1700,1.38389652674e-87,[-10.0, -10.0, -3.66]
1800,1.38389652674e-87,[-10.0, -10.0, -3.66]
1900,1.38389652674e-87,[-10.0, -10.0, -3.66]
2000,1.38389652674e-87,[-10.0, -10.0, -3.66]
2100,1.38389652674e-87,[-10.0, -10.0, -3.66]
2200,1.38389652674e-87,[-10.0, -10.0, -3.66]
2300,1.38389652674e-87,[-10.0, -10.0, -3.66]
2400,1.38389652674e-87,[-10.0, -10.0, -3.66]
2500,1.38389652674e-87,[-10.0, -10.0, -3.66]
2600,1.38389652674e-87,[-10.0, -10.0, -3.66]
2700,1.38389652674e-87,[-10.0, -10.0, -3.66]
2800,1.38389652674e-87,[-10.0, -10.0, -3.66]
2900,1.38389652674e-87,[-10.0, -10.0, -3.66]
3000,1.38389652674e-87,[-10.0, -10.0, -3.66]
3100,1.38389652674e-87,[-10.0, -10.0, -3.66]
3200,1.38389652674e-87,[-10.0, -10.0, -3.66]
3300,1.38389652674e-87,[-10.0, -10.0, -3.66]
3400,1.38389652674e-87,[-10.0, -10.0, -3.66]
3500,1.38389652674e-87,[-10.0, -10.0, -3.66]
3600,1.38389652674e-87,[-10.0, -10.0, -3.66]
3700,1.38389652674e-87,[-10.0, -10.0, -3.66]
3800,1.38389652674e-87,[-10.0, -10.0, -3.66]
3900,1.38389652674e-87,[-10.0, -10.0, -3.66]
4000,1.38389652674e-87,[-10.0, -10.0, -3.66]
4100,1.38389652674e-87,[-10.0, -10.0, -3.66]
4200,1.38389652674e-87,[-10.0, -10.0, -3.66]
4300,1.38389652674e-87,[-10.0, -10.0, -3.66]
4400,1.38389652674e-87,[-10.0, -10.0, -3.66]
4500,1.38389652674e-87,[-10.0, -10.0, -3.66]
4600,1.38389652674e-87,[-10.0, -10.0, -3.66]
4700,1.38389652674e-87,[-10.0, -10.0, -3.66]
4800,1.38389652674e-87,[-10.0, -10.0, -3.66]
4900,1.38389652674e-87,[-10.0, -10.0, -3.66]
5000,1.38389652674e-87,[-10.0, -10.0, -3.66]
5100,1.38389652674e-87,[-10.0, -10.0, -3.66]
5200,1.38389652674e-87,[-10.0, -10.0, -3.66]
5300,1.38389652674e-87,[-10.0, -10.0, -3.66]
5400,1.38389652674e-87,[-10.0, -10.0, -3.66]
5500,1.38389652674e-87,[-10.0, -10.0, -3.66]
5600,1.38389652674e-87,[-10.0, -10.0, -3.66]
5700,1.38389652674e-87,[-10.0, -10.0, -3.66]
5800,1.38389652674e-87,[-10.0, -10.0, -3.66]
5900,1.38389652674e-87,[-10.0, -10.0, -3.66]
6000,1.38389652674e-87,[-10.0, -10.0, -3.66]
6002,1.38389652674e-87,[-10.0, -10.0, -3.66]
