Iteration,Fitness,Chromosome
0,164213.328484,[223.96, 243.82]
100,2383.63282189,[-33.75, -22.21]
200,2383.63282189,[-33.75, -22.21]
300,2383.63282189,[-33.75, -22.21]
400,184.876522829,[-14.6, 2.47]
500,184.876522829,[-14.6, 2.47]
600,184.876522829,[-14.6, 2.47]
700,184.876522829,[-14.6, 2.47]
800,184.876522829,[-14.6, 2.47]
900,184.876522829,[-14.6, 2.47]
1000,184.876522829,[-14.6, 2.47]
1100,184.876522829,[-14.6, 2.47]
1200,184.876522829,[-14.6, 2.47]
1300,184.876522829,[-14.6, 2.47]
1400,184.876522829,[-14.6, 2.47]
1500,184.876522829,[-14.6, 2.47]
1600,184.876522829,[-14.6, 2.47]
1700,184.876522829,[-14.6, 2.47]
1800,184.876522829,[-14.6, 2.47]
1900,92.9638892758,[3.52, 7.34]
2000,92.9638892758,[3.52, 7.34]
2100,92.9638892758,[3.52, 7.34]
2200,92.9638892758,[3.52, 7.34]
2300,92.9638892758,[3.52, 7.34]
2400,92.9638892758,[3.52, 7.34]
2500,92.9638892758,[3.52, 7.34]
2600,92.9638892758,[3.52, 7.34]
2700,46.6358064873,[2.11, 5.41]
2800,46.6358064873,[2.11, 5.41]
2900,46.6358064873,[2.11, 5.41]
3000,46.6358064873,[2.11, 5.41]
3100,46.6358064873,[2.11, 5.41]
3200,46.6358064873,[2.11, 5.41]
3300,46.6358064873,[2.11, 5.41]
3400,46.6358064873,[2.11, 5.41]
3500,46.6358064873,[2.11, 5.41]
3600,46.6358064873,[2.11, 5.41]
3700,46.6358064873,[2.11, 5.41]
3800,46.6358064873,[2.11, 5.41]
3900,46.6358064873,[2.11, 5.41]
4000,46.6358064873,[2.11, 5.41]
4100,46.6358064873,[2.11, 5.41]
4200,46.6358064873,[2.11, 5.41]
4300,46.6358064873,[2.11, 5.41]
4400,46.6358064873,[2.11, 5.41]
4500,46.6358064873,[2.11, 5.41]
4600,46.6358064873,[2.11, 5.41]
4700,46.6358064873,[2.11, 5.41]
4800,46.6358064873,[2.11, 5.41]
4900,46.6358064873,[2.11, 5.41]
5000,46.6358064873,[2.11, 5.41]
5100,46.6358064873,[2.11, 5.41]
5200,46.6358064873,[2.11, 5.41]
5300,46.6358064873,[2.11, 5.41]
5400,46.6358064873,[2.11, 5.41]
5500,46.6358064873,[2.11, 5.41]
5600,46.6358064873,[2.11, 5.41]
5700,46.6358064873,[2.11, 5.41]
5800,46.6358064873,[2.11, 5.41]
5900,46.6358064873,[2.11, 5.41]
6000,46.6358064873,[2.11, 5.41]
6100,46.6358064873,[2.11, 5.41]
6200,46.6358064873,[2.11, 5.41]
6300,46.6358064873,[2.11, 5.41]
6400,46.6358064873,[2.11, 5.41]
6500,46.6358064873,[2.11, 5.41]
6600,46.6358064873,[2.11, 5.41]
6700,46.6358064873,[2.11, 5.41]
6800,46.6358064873,[2.11, 5.41]
6900,46.6358064873,[2.11, 5.41]
7000,46.6358064873,[2.11, 5.41]
7100,46.6358064873,[2.11, 5.41]
7200,46.6358064873,[2.11, 5.41]
7300,46.6358064873,[2.11, 5.41]
7400,46.6358064873,[2.11, 5.41]
7500,46.6358064873,[2.11, 5.41]
7600,46.6358064873,[2.11, 5.41]
7700,46.6358064873,[2.11, 5.41]
7800,46.6358064873,[2.11, 5.41]
7900,46.6358064873,[2.11, 5.41]
8000,46.6358064873,[2.11, 5.41]
8100,46.6358064873,[2.11, 5.41]
8200,46.6358064873,[2.11, 5.41]
8300,46.6358064873,[2.11, 5.41]
8400,46.6358064873,[2.11, 5.41]
8500,46.6358064873,[2.11, 5.41]
8600,46.6358064873,[2.11, 5.41]
8700,46.6358064873,[2.11, 5.41]
8800,46.6358064873,[2.11, 5.41]
8900,46.6358064873,[2.11, 5.41]
9000,46.6358064873,[2.11, 5.41]
9100,46.6358064873,[2.11, 5.41]
9200,46.6358064873,[2.11, 5.41]
