Iteration,Fitness,Chromosomes
0,72.7898744966,[-2.0, 9.24]
100,1.13971231395,[-0.12, -0.04]
200,1.13296220771,[-0.12, 0.01]
300,1.04684033444,[0.04, 0.07]
400,1.04323936794,[0.04, 0.03]
500,1.03224553395,[0.03, 0.03]
600,1.03224553395,[0.03, 0.03]
700,1.03224553395,[0.03, 0.03]
800,1.03124650046,[0.03, -0.07]
900,1.03124650046,[0.03, -0.07]
1000,1.03124650046,[0.03, -0.07]
1100,1.03124650046,[0.03, -0.07]
1200,1.03124650046,[0.03, -0.07]
1300,1.01185083359,[0.01, -0.07]
1400,1.01185083359,[0.01, -0.07]
1500,1.01185083359,[0.01, -0.07]
1600,1.01049994,[0.01, -0.04]
1700,1.01049994,[0.01, -0.04]
1800,1.01024986708,[0.01, -0.03]
1900,1.01024986708,[0.01, -0.03]
2000,1.01024986708,[0.01, -0.03]
2100,1.01024986708,[0.01, -0.03]
2200,1.01024986708,[0.01, -0.03]
2300,1.01024986708,[0.01, -0.03]
2400,1.01024986708,[0.01, -0.03]
2500,1.01024986708,[0.01, -0.03]
2600,1.01024986708,[0.01, -0.03]
2700,1.01024986708,[0.01, -0.03]
2800,1.01024986708,[0.01, -0.03]
2900,1.01024986708,[0.01, -0.03]
3000,1.01024986708,[0.01, -0.03]
3100,1.01024986708,[0.01, -0.03]
3200,1.01009984,[0.01, -0.02]
3300,1.01009984,[0.01, -0.02]
3400,1.01009984,[0.01, -0.02]
3500,1.01009984,[0.01, -0.02]
3600,1.01009984,[0.01, -0.02]
3700,1.01009984,[0.01, -0.02]
3800,1.01009984,[0.01, -0.02]
3900,1.01009984,[0.01, -0.02]
4000,1.01009984,[0.01, -0.02]
4100,1.01009984,[0.01, -0.02]
4200,1.01009984,[0.01, -0.02]
4300,1.01009984,[0.01, -0.02]
4400,1.01009984,[0.01, -0.02]
4500,1.01009983333,[0.01, -0.0]
4600,1.01009983333,[0.01, -0.0]
4700,1.01009983333,[0.01, -0.0]
4800,1.01009983333,[0.01, -0.0]
4900,1.01009983333,[0.01, -0.0]
5000,1.01009983333,[0.01, -0.0]
5100,1.01009983333,[0.01, -0.0]
5200,1.01009983333,[0.01, -0.0]
5300,1.01009983333,[0.01, -0.0]
5400,1.01009983333,[0.01, -0.0]
5500,1.01009983333,[0.01, -0.0]
5600,1.01009983333,[0.01, -0.0]
5700,1.01009983333,[0.01, -0.0]
5800,1.01009983333,[0.01, -0.0]
5900,1.01009983333,[0.01, -0.0]
6000,1.01009983333,[0.01, -0.0]
6002,1.01009983333,[0.01, -0.0]
