Iteration,Fitness,Chromosomes
0,953.13,[5.97, -33.41]
100,756.06,[8.6, -30.74]
200,756.06,[8.6, -30.74]
300,756.06,[8.6, -30.74]
400,709.61,[15.71, -30.74]
500,709.61,[15.71, -30.74]
600,709.61,[15.71, -30.74]
700,709.61,[15.71, -30.74]
800,709.61,[15.71, -30.74]
900,709.61,[15.71, -30.74]
1000,709.61,[15.71, -30.74]
1100,709.61,[15.71, -30.74]
1200,709.61,[15.71, -30.74]
1300,709.61,[15.71, -30.74]
1400,709.61,[15.71, -30.74]
1500,709.61,[15.71, -30.74]
1600,709.61,[15.71, -30.74]
1700,709.61,[15.71, -30.74]
1800,709.61,[15.71, -30.74]
1900,709.61,[15.71, -30.74]
2000,709.61,[15.71, -30.74]
2100,709.61,[15.71, -30.74]
2200,709.61,[15.71, -30.74]
2300,709.61,[15.71, -30.74]
2400,709.61,[15.71, -30.74]
2500,709.61,[15.71, -30.74]
2600,709.61,[15.71, -30.74]
2700,709.61,[15.71, -30.74]
2800,709.61,[15.71, -30.74]
2900,709.61,[15.71, -30.74]
3000,709.61,[15.71, -30.74]
3100,709.61,[15.71, -30.74]
3200,709.61,[15.71, -30.74]
3300,709.61,[15.71, -30.74]
3400,709.61,[15.71, -30.74]
3500,709.61,[15.71, -30.74]
3600,709.61,[15.71, -30.74]
3700,709.61,[15.71, -30.74]
3800,709.61,[15.71, -30.74]
3900,709.61,[15.71, -30.74]
4000,709.61,[15.71, -30.74]
4100,709.61,[15.71, -30.74]
4200,709.61,[15.71, -30.74]
4300,709.61,[15.71, -30.74]
4400,709.61,[15.71, -30.74]
4500,709.61,[15.71, -30.74]
4600,287.53,[10.92, -19.47]
4700,142.38,[-12.84, 10.68]
4800,131.06,[-12.26, 10.3]
4900,131.06,[-12.26, 10.3]
5000,131.06,[-12.26, 10.3]
5100,4.03,[1.88, -1.21]
5200,3.8,[1.76, -1.12]
5300,3.8,[1.76, -1.12]
5400,1.69,[0.09, -1.12]
5500,1.69,[0.09, -1.12]
5600,1.69,[0.09, -1.12]
5700,1.69,[0.09, -1.12]
5800,1.69,[0.09, -1.12]
5900,1.69,[0.09, -1.12]
6000,1.09,[0.09, -0.12]
6100,1.09,[0.09, -0.12]
6200,1.09,[0.09, -0.12]
6300,1.09,[0.09, -0.12]
6400,1.09,[0.09, -0.12]
6500,1.09,[0.09, -0.12]
6600,1.09,[0.09, -0.12]
6700,1.09,[0.09, -0.12]
6800,1.09,[0.09, -0.12]
6900,1.09,[0.09, -0.12]
7000,1.09,[0.09, -0.12]
7100,1.09,[0.09, -0.12]
7200,1.09,[0.09, -0.12]
7300,1.09,[0.09, -0.12]
7400,1.09,[0.09, -0.12]
7500,1.09,[0.09, -0.12]
7600,1.09,[0.09, -0.12]
7700,1.09,[0.09, -0.12]
7800,1.09,[0.09, -0.12]
7900,1.09,[0.09, -0.12]
8000,1.09,[0.09, -0.12]
8100,1.09,[0.09, -0.12]
8200,1.09,[0.09, -0.12]
8300,1.09,[0.09, -0.12]
8400,1.09,[0.09, -0.12]
8500,1.09,[0.09, -0.12]
8600,1.09,[0.09, -0.12]
8700,1.09,[0.09, -0.12]
8800,1.09,[0.09, -0.12]
8900,1.09,[0.09, -0.12]
9000,1.09,[0.09, -0.12]
9100,1.09,[0.09, -0.12]
9200,1.09,[0.09, -0.12]
9300,1.09,[0.09, -0.12]
9400,1.09,[0.09, -0.12]
9500,1.09,[0.09, -0.12]
9600,1.09,[0.09, -0.12]
9700,1.09,[0.09, -0.12]
9800,1.09,[0.09, -0.12]
9900,1.09,[0.09, -0.12]
10000,1.09,[0.09, -0.12]
10100,1.09,[0.09, -0.12]
10200,1.09,[0.09, -0.12]
10300,1.09,[0.09, -0.12]
10400,1.09,[0.09, -0.12]
10500,1.09,[0.09, -0.12]
10600,1.09,[0.09, -0.12]
10700,1.09,[0.09, -0.12]
10800,1.09,[0.09, -0.12]
10900,1.09,[0.09, -0.12]
11000,1.09,[0.09, -0.12]
11100,1.09,[0.09, -0.12]
11200,1.09,[0.09, -0.12]
11300,1.09,[0.09, -0.12]
11400,1.09,[0.09, -0.12]
11500,1.09,[0.09, -0.12]
11600,1.09,[0.09, -0.12]
11700,1.09,[0.09, -0.12]
11800,1.09,[0.09, -0.12]
11900,1.09,[0.09, -0.12]
12000,1.09,[0.09, -0.12]
12100,1.09,[0.09, -0.12]
12200,1.09,[0.09, -0.12]
12300,1.09,[0.09, -0.12]
12400,1.09,[0.09, -0.12]
12500,1.09,[0.09, -0.12]
12600,1.09,[0.09, -0.12]
12700,1.09,[0.09, -0.12]
12800,1.09,[0.09, -0.12]
12900,1.09,[0.09, -0.12]
13000,1.09,[0.09, -0.12]
13100,1.09,[0.09, -0.12]
13200,1.09,[0.09, -0.12]
13300,1.09,[0.09, -0.12]
13400,1.09,[0.09, -0.12]
13500,1.09,[0.09, -0.12]
