Iteration,Fitness,Chromosome
0,29504.8285518,[2.01, 4.36]
100,0.915822672201,[-3.0, 1.27]
200,0.915822672201,[-3.0, 1.27]
300,0.728325,[2.28, -0.0]
400,0.728325,[2.28, -0.0]
500,0.550215289609,[4.19, 0.76]
600,0.550215289609,[4.19, 0.76]
700,0.550215289609,[4.19, 0.76]
800,0.550215289609,[4.19, 0.76]
900,0.550215289609,[4.19, 0.76]
1000,0.420778118598,[2.82, 0.28]
1100,0.344806361645,[3.92, 0.59]
1200,0.344806361645,[3.92, 0.59]
1300,0.1480056525,[2.35, 0.3]
1400,0.0515961409066,[3.63, 0.64]
1500,0.0515961409066,[3.63, 0.64]
1600,0.0515961409066,[3.63, 0.64]
1700,0.0515961409066,[3.63, 0.64]
1800,0.0515961409066,[3.63, 0.64]
1900,0.0515961409066,[3.63, 0.64]
2000,0.0515961409066,[3.63, 0.64]
2100,0.0515961409066,[3.63, 0.64]
2200,0.0515961409066,[3.63, 0.64]
2300,0.0515961409066,[3.63, 0.64]
2400,0.0515961409066,[3.63, 0.64]
2500,0.0515961409066,[3.63, 0.64]
2600,0.0515961409066,[3.63, 0.64]
2700,0.0515961409066,[3.63, 0.64]
2800,0.0515961409066,[3.63, 0.64]
2900,0.0515961409066,[3.63, 0.64]
3000,0.0515961409066,[3.63, 0.64]
3100,0.0515961409066,[3.63, 0.64]
3200,0.0515961409066,[3.63, 0.64]
3300,0.0515961409066,[3.63, 0.64]
3400,0.0515961409066,[3.63, 0.64]
3500,0.0515961409066,[3.63, 0.64]
3600,0.0515961409066,[3.63, 0.64]
3700,0.0515961409066,[3.63, 0.64]
3800,0.0515961409066,[3.63, 0.64]
3900,0.0515961409066,[3.63, 0.64]
4000,0.0515961409066,[3.63, 0.64]
4100,0.0515961409066,[3.63, 0.64]
4200,0.0515961409066,[3.63, 0.64]
4300,0.0515961409066,[3.63, 0.64]
4400,0.0494543144678,[3.8, 0.64]
4500,0.0494543144678,[3.8, 0.64]
4600,0.0494543144678,[3.8, 0.64]
4700,0.0119540902641,[3.27, 0.55]
4800,0.0119540902641,[3.27, 0.55]
4900,0.0119540902641,[3.27, 0.55]
5000,0.0119540902641,[3.27, 0.55]
5100,0.0119540902641,[3.27, 0.55]
5200,0.0119540902641,[3.27, 0.55]
5300,0.0119540902641,[3.27, 0.55]
5400,0.0119540902641,[3.27, 0.55]
5500,0.0119540902641,[3.27, 0.55]
5600,0.00216141984086,[2.93, 0.49]
5700,0.00216141984086,[2.93, 0.49]
5800,0.00216141984086,[2.93, 0.49]
5900,0.00216141984086,[2.93, 0.49]
6000,0.00216141984086,[2.93, 0.49]
6100,0.00216141984086,[2.93, 0.49]
6200,0.00216141984086,[2.93, 0.49]
6300,0.00216141984086,[2.93, 0.49]
6400,0.00216141984086,[2.93, 0.49]
6500,0.00216141984086,[2.93, 0.49]
6600,0.00216141984086,[2.93, 0.49]
6700,0.00216141984086,[2.93, 0.49]
6800,0.00216141984086,[2.93, 0.49]
6900,0.00216141984086,[2.93, 0.49]
7000,0.00216141984086,[2.93, 0.49]
7100,0.00216141984086,[2.93, 0.49]
7200,0.00216141984086,[2.93, 0.49]
7300,0.00216141984086,[2.93, 0.49]
7400,0.00216141984086,[2.93, 0.49]
7500,0.00216141984086,[2.93, 0.49]
7600,0.00216141984086,[2.93, 0.49]
7700,0.00216141984086,[2.93, 0.49]
7800,0.00216141984086,[2.93, 0.49]
7900,0.00216141984086,[2.93, 0.49]
8000,0.00216141984086,[2.93, 0.49]
8100,0.00216141984086,[2.93, 0.49]
8200,0.00216141984086,[2.93, 0.49]
8300,0.00216141984086,[2.93, 0.49]
8400,0.00216141984086,[2.93, 0.49]
8500,0.00216141984086,[2.93, 0.49]
8600,0.00216141984086,[2.93, 0.49]
8700,0.00216141984086,[2.93, 0.49]
8800,0.00216141984086,[2.93, 0.49]
8900,0.00216141984086,[2.93, 0.49]
9000,0.00216141984086,[2.93, 0.49]
9100,0.00216141984086,[2.93, 0.49]
9200,0.00216141984086,[2.93, 0.49]
9300,0.00216141984086,[2.93, 0.49]
9400,0.00216141984086,[2.93, 0.49]
9500,0.00216141984086,[2.93, 0.49]
9600,0.00216141984086,[2.93, 0.49]
9700,0.00216141984086,[2.93, 0.49]
9800,0.00216141984086,[2.93, 0.49]
9900,0.00216141984086,[2.93, 0.49]
10000,0.00216141984086,[2.93, 0.49]
10100,0.00216141984086,[2.93, 0.49]
10200,0.00216141984086,[2.93, 0.49]
10300,0.00216141984086,[2.93, 0.49]
10400,0.00216141984086,[2.93, 0.49]
10500,0.00216141984086,[2.93, 0.49]
10600,0.00216141984086,[2.93, 0.49]
10700,0.00216141984086,[2.93, 0.49]
10800,0.00216141984086,[2.93, 0.49]
10900,0.00216141984086,[2.93, 0.49]
11000,0.00216141984086,[2.93, 0.49]
11100,0.00216141984086,[2.93, 0.49]
11200,0.00216141984086,[2.93, 0.49]
11300,0.00216141984086,[2.93, 0.49]
11400,0.00216141984086,[2.93, 0.49]
11500,0.00216141984086,[2.93, 0.49]
11600,0.00216141984086,[2.93, 0.49]
11700,0.00216141984086,[2.93, 0.49]
11800,0.00216141984086,[2.93, 0.49]
11900,0.00216141984086,[2.93, 0.49]
12000,0.00216141984086,[2.93, 0.49]
12100,0.00216141984086,[2.93, 0.49]
12200,0.00216141984086,[2.93, 0.49]
12300,0.00216141984086,[2.93, 0.49]
12400,0.00216141984086,[2.93, 0.49]
12500,0.00216141984086,[2.93, 0.49]
12600,0.00216141984086,[2.93, 0.49]
12700,0.00216141984086,[2.93, 0.49]
12800,0.00216141984086,[2.93, 0.49]
12900,0.00216141984086,[2.93, 0.49]
13000,0.00216141984086,[2.93, 0.49]
13100,0.00216141984086,[2.93, 0.49]
13200,0.00216141984086,[2.93, 0.49]
13300,0.00216141984086,[2.93, 0.49]
13400,0.00216141984086,[2.93, 0.49]
13500,0.00216141984086,[2.93, 0.49]
13600,0.00216141984086,[2.93, 0.49]
13700,0.00216141984086,[2.93, 0.49]
13800,0.00216141984086,[2.93, 0.49]
13900,0.00216141984086,[2.93, 0.49]
14000,0.00216141984086,[2.93, 0.49]
14100,0.00216141984086,[2.93, 0.49]
