Iteration,Fitness,Chromosomes
0,0.846049940012,[2.46, 0.56]
100,0.00213768801689,[2.9, 0.47]
200,0.00213768801689,[2.9, 0.47]
300,0.00213768801689,[2.9, 0.47]
400,0.00213768801689,[2.9, 0.47]
500,0.00213768801689,[2.9, 0.47]
600,0.00213768801689,[2.9, 0.47]
700,0.00213768801689,[2.9, 0.47]
800,0.00213768801689,[2.9, 0.47]
900,0.00213768801689,[2.9, 0.47]
1000,0.00213768801689,[2.9, 0.47]
1100,0.00213768801689,[2.9, 0.47]
1200,0.00213768801689,[2.9, 0.47]
1300,0.00213768801689,[2.9, 0.47]
1400,0.00213768801689,[2.9, 0.47]
1500,0.00213768801689,[2.9, 0.47]
1600,0.00213768801689,[2.9, 0.47]
1700,0.00213768801689,[2.9, 0.47]
1800,0.00213768801689,[2.9, 0.47]
1900,0.00213768801689,[2.9, 0.47]
2000,0.00213768801689,[2.9, 0.47]
2100,0.00213768801689,[2.9, 0.47]
2200,0.00213768801689,[2.9, 0.47]
2300,0.00213768801689,[2.9, 0.47]
2400,0.00213768801689,[2.9, 0.47]
2500,0.00213768801689,[2.9, 0.47]
2600,0.00213768801689,[2.9, 0.47]
2700,0.00213768801689,[2.9, 0.47]
2800,0.00213768801689,[2.9, 0.47]
2900,0.00213768801689,[2.9, 0.47]
3000,0.00213768801689,[2.9, 0.47]
3100,0.00213768801689,[2.9, 0.47]
3200,0.00213768801689,[2.9, 0.47]
3300,0.00213768801689,[2.9, 0.47]
3400,0.00213768801689,[2.9, 0.47]
3500,0.00213768801689,[2.9, 0.47]
3600,0.00213768801689,[2.9, 0.47]
3700,0.00213768801689,[2.9, 0.47]
3800,0.00213768801689,[2.9, 0.47]
3900,0.00213768801689,[2.9, 0.47]
4000,0.00213768801689,[2.9, 0.47]
4100,0.00213768801689,[2.9, 0.47]
4200,0.00213768801689,[2.9, 0.47]
4300,0.00213768801689,[2.9, 0.47]
4400,0.00213768801689,[2.9, 0.47]
4500,0.00213768801689,[2.9, 0.47]
4600,0.00213768801689,[2.9, 0.47]
4700,0.00213768801689,[2.9, 0.47]
4800,0.00213768801689,[2.9, 0.47]
4900,0.00213768801689,[2.9, 0.47]
5000,0.00213768801689,[2.9, 0.47]
5100,0.00213768801689,[2.9, 0.47]
5200,0.00213768801689,[2.9, 0.47]
5300,0.00213768801689,[2.9, 0.47]
5400,0.00213768801689,[2.9, 0.47]
5500,0.00213768801689,[2.9, 0.47]
5600,0.00213768801689,[2.9, 0.47]
5700,0.00213768801689,[2.9, 0.47]
5800,0.00213768801689,[2.9, 0.47]
5900,0.00213768801689,[2.9, 0.47]
6000,0.00213768801689,[2.9, 0.47]
6002,0.00213768801689,[2.9, 0.47]
