Iteration,Fitness,Chromosomes
0,0.14,[2.61, 0.47]
100,0.0,[2.9, 0.47]
200,0.0,[2.9, 0.47]
300,0.0,[2.9, 0.47]
400,0.0,[2.9, 0.47]
500,0.0,[2.9, 0.47]
600,0.0,[2.9, 0.47]
700,0.0,[2.9, 0.47]
800,0.0,[2.9, 0.47]
900,0.0,[2.9, 0.47]
1000,0.0,[2.9, 0.47]
1100,0.0,[2.9, 0.47]
1200,0.0,[2.9, 0.47]
1300,0.0,[2.9, 0.47]
1400,0.0,[2.9, 0.47]
1500,0.0,[2.9, 0.47]
1600,0.0,[2.9, 0.47]
1700,0.0,[2.9, 0.47]
1800,0.0,[2.9, 0.47]
1900,0.0,[2.9, 0.47]
2000,0.0,[2.9, 0.47]
2100,0.0,[2.9, 0.47]
2200,0.0,[2.9, 0.47]
2300,0.0,[2.9, 0.47]
2400,0.0,[2.9, 0.47]
2500,0.0,[2.9, 0.47]
2600,0.0,[2.9, 0.47]
2700,0.0,[2.9, 0.47]
2800,0.0,[2.9, 0.47]
2900,0.0,[2.9, 0.47]
3000,0.0,[2.9, 0.47]
3100,0.0,[2.9, 0.47]
3200,0.0,[2.9, 0.47]
3300,0.0,[2.9, 0.47]
3400,0.0,[2.9, 0.47]
3500,0.0,[2.9, 0.47]
3600,0.0,[2.9, 0.47]
3700,0.0,[2.9, 0.47]
3800,0.0,[2.9, 0.47]
3900,0.0,[2.9, 0.47]
4000,0.0,[2.9, 0.47]
4100,0.0,[2.9, 0.47]
4200,0.0,[2.9, 0.47]
4300,0.0,[2.9, 0.47]
4400,0.0,[2.9, 0.47]
4500,0.0,[2.9, 0.47]
4600,0.0,[2.9, 0.47]
4700,0.0,[2.9, 0.47]
4800,0.0,[2.9, 0.47]
4900,0.0,[2.9, 0.47]
5000,0.0,[2.9, 0.47]
5100,0.0,[2.9, 0.47]
5200,0.0,[2.9, 0.47]
5300,0.0,[2.9, 0.47]
5400,0.0,[2.9, 0.47]
5500,0.0,[2.9, 0.47]
5600,0.0,[2.9, 0.47]
5700,0.0,[2.9, 0.47]
5800,0.0,[2.9, 0.47]
5900,0.0,[2.9, 0.47]
6000,0.0,[2.9, 0.47]
6100,0.0,[2.9, 0.47]
6200,0.0,[2.9, 0.47]
6300,0.0,[2.9, 0.47]
6400,0.0,[2.9, 0.47]
6500,0.0,[2.9, 0.47]
6600,0.0,[2.9, 0.47]
6700,0.0,[2.9, 0.47]
6800,0.0,[2.9, 0.47]
6900,0.0,[2.9, 0.47]
7000,0.0,[2.9, 0.47]
7100,0.0,[2.9, 0.47]
7200,0.0,[2.9, 0.47]
7300,0.0,[2.9, 0.47]
7400,0.0,[2.9, 0.47]
7500,0.0,[2.9, 0.47]
7600,0.0,[2.9, 0.47]
7700,0.0,[2.9, 0.47]
7800,0.0,[2.9, 0.47]
7900,0.0,[2.9, 0.47]
8000,0.0,[2.9, 0.47]
8100,0.0,[2.9, 0.47]
8200,0.0,[2.9, 0.47]
8300,0.0,[2.9, 0.47]
8400,0.0,[2.9, 0.47]
8500,0.0,[2.9, 0.47]
8600,0.0,[2.9, 0.47]
8700,0.0,[2.9, 0.47]
8800,0.0,[2.9, 0.47]
8900,0.0,[2.9, 0.47]
9000,0.0,[2.9, 0.47]
9100,0.0,[2.9, 0.47]
9200,0.0,[2.9, 0.47]
9300,0.0,[2.9, 0.47]
9400,0.0,[2.9, 0.47]
9500,0.0,[2.9, 0.47]
9600,0.0,[2.9, 0.47]
9700,0.0,[2.9, 0.47]
9800,0.0,[2.9, 0.47]
9900,0.0,[2.9, 0.47]
10000,0.0,[2.9, 0.47]
10100,0.0,[2.9, 0.47]
10200,0.0,[2.9, 0.47]
10300,0.0,[2.9, 0.47]
10400,0.0,[2.9, 0.47]
10500,0.0,[2.9, 0.47]
10600,0.0,[2.9, 0.47]
10700,0.0,[2.9, 0.47]
10800,0.0,[2.9, 0.47]
10900,0.0,[2.9, 0.47]
11000,0.0,[2.9, 0.47]
11100,0.0,[2.9, 0.47]
11200,0.0,[2.9, 0.47]
11300,0.0,[2.9, 0.47]
11400,0.0,[2.9, 0.47]
11500,0.0,[2.9, 0.47]
11600,0.0,[2.9, 0.47]
11700,0.0,[2.9, 0.47]
11800,0.0,[2.9, 0.47]
11900,0.0,[2.9, 0.47]
12000,0.0,[2.9, 0.47]
12100,0.0,[2.9, 0.47]
12200,0.0,[2.9, 0.47]
12300,0.0,[2.9, 0.47]
12400,0.0,[2.9, 0.47]
12500,0.0,[2.9, 0.47]
12600,0.0,[2.9, 0.47]
12700,0.0,[2.9, 0.47]
12800,0.0,[2.9, 0.47]
12900,0.0,[2.9, 0.47]
13000,0.0,[2.9, 0.47]
13100,0.0,[2.9, 0.47]
13200,0.0,[2.9, 0.47]
13300,0.0,[2.9, 0.47]
13400,0.0,[2.9, 0.47]
13500,0.0,[2.9, 0.47]
13600,0.0,[2.9, 0.47]
13700,0.0,[2.9, 0.47]
13800,0.0,[2.9, 0.47]
13900,0.0,[2.9, 0.47]
14000,0.0,[2.9, 0.47]
14100,0.0,[2.9, 0.47]
14200,0.0,[2.9, 0.47]
14300,0.0,[2.9, 0.47]
14400,0.0,[2.9, 0.47]
14500,0.0,[2.9, 0.47]
14600,0.0,[2.9, 0.47]
14700,0.0,[2.9, 0.47]
14800,0.0,[2.9, 0.47]
14900,0.0,[2.9, 0.47]
15000,0.0,[2.9, 0.47]
15100,0.0,[2.9, 0.47]
15200,0.0,[2.9, 0.47]
15300,0.0,[2.9, 0.47]
15400,0.0,[2.9, 0.47]
15500,0.0,[2.9, 0.47]
15600,0.0,[2.9, 0.47]
15700,0.0,[2.9, 0.47]
15800,0.0,[2.9, 0.47]
15900,0.0,[2.9, 0.47]
16000,0.0,[2.9, 0.47]
16100,0.0,[2.9, 0.47]
16200,0.0,[2.9, 0.47]
16300,0.0,[2.9, 0.47]
16400,0.0,[2.9, 0.47]
16500,0.0,[2.9, 0.47]
16600,0.0,[2.9, 0.47]
16700,0.0,[2.9, 0.47]
16800,0.0,[2.9, 0.47]
16900,0.0,[2.9, 0.47]
17000,0.0,[2.9, 0.47]
17100,0.0,[2.9, 0.47]
17200,0.0,[2.9, 0.47]
17300,0.0,[2.9, 0.47]
17400,0.0,[2.9, 0.47]
17500,0.0,[2.9, 0.47]
17600,0.0,[2.9, 0.47]
17700,0.0,[2.9, 0.47]
17800,0.0,[2.9, 0.47]
17900,0.0,[2.9, 0.47]
18000,0.0,[2.9, 0.47]
18100,0.0,[2.9, 0.47]
18200,0.0,[2.9, 0.47]
18300,0.0,[2.9, 0.47]
18400,0.0,[2.9, 0.47]
18500,0.0,[2.9, 0.47]
18600,0.0,[2.9, 0.47]
18700,0.0,[2.9, 0.47]
18800,0.0,[2.9, 0.47]
18900,0.0,[2.9, 0.47]
19000,0.0,[2.9, 0.47]
19100,0.0,[2.9, 0.47]
19200,0.0,[2.9, 0.47]
19300,0.0,[2.9, 0.47]
19400,0.0,[2.9, 0.47]
19500,0.0,[2.9, 0.47]
19600,0.0,[2.9, 0.47]
19700,0.0,[2.9, 0.47]
19800,0.0,[2.9, 0.47]
19900,0.0,[2.9, 0.47]
20000,0.0,[2.9, 0.47]
