Iteration,Fitness,Chromosome
0,56.4063675526,[-3.89, 2.48]
100,-79.4686042945,[-1.53, -2.63]
200,-101.82212801,[4.52, 3.22]
300,-106.025598526,[-1.54, -3.19]
400,-106.025598526,[-1.54, -3.19]
500,-106.025598526,[-1.54, -3.19]
600,-106.08826923,[4.68, 3.22]
700,-106.08826923,[4.68, 3.22]
800,-106.08826923,[4.68, 3.22]
900,-106.08826923,[4.68, 3.22]
1000,-106.08826923,[4.68, 3.22]
1100,-106.08826923,[4.68, 3.22]
1200,-106.08826923,[4.68, 3.22]
1300,-106.08826923,[4.68, 3.22]
1400,-106.08826923,[4.68, 3.22]
1500,-106.08826923,[4.68, 3.22]
1600,-106.212371447,[4.76, 3.13]
1700,-106.212371447,[4.76, 3.13]
1800,-106.212371447,[4.76, 3.13]
1900,-106.212371447,[4.76, 3.13]
2000,-106.212371447,[4.76, 3.13]
2100,-106.212371447,[4.76, 3.13]
2200,-106.212371447,[4.76, 3.13]
2300,-106.212371447,[4.76, 3.13]
2400,-106.212371447,[4.76, 3.13]
2500,-106.212371447,[4.76, 3.13]
2600,-106.212371447,[4.76, 3.13]
2700,-106.212371447,[4.76, 3.13]
2800,-106.212371447,[4.76, 3.13]
2900,-106.212371447,[4.76, 3.13]
3000,-106.212371447,[4.76, 3.13]
3100,-106.212371447,[4.76, 3.13]
3200,-106.212371447,[4.76, 3.13]
3300,-106.212371447,[4.76, 3.13]
3400,-106.212371447,[4.76, 3.13]
3500,-106.212371447,[4.76, 3.13]
3600,-106.212371447,[4.76, 3.13]
3700,-106.212371447,[4.76, 3.13]
3800,-106.212371447,[4.76, 3.13]
3900,-106.212371447,[4.76, 3.13]
4000,-106.212371447,[4.76, 3.13]
4100,-106.212371447,[4.76, 3.13]
4200,-106.212371447,[4.76, 3.13]
4300,-106.212371447,[4.76, 3.13]
4400,-106.212371447,[4.76, 3.13]
4500,-106.212371447,[4.76, 3.13]
4600,-106.212371447,[4.76, 3.13]
4700,-106.212371447,[4.76, 3.13]
4800,-106.212371447,[4.76, 3.13]
4900,-106.212371447,[4.76, 3.13]
5000,-106.212371447,[4.76, 3.13]
5100,-106.212371447,[4.76, 3.13]
5200,-106.212371447,[4.76, 3.13]
5300,-106.212371447,[4.76, 3.13]
5400,-106.212371447,[4.76, 3.13]
5500,-106.212371447,[4.76, 3.13]
5600,-106.212371447,[4.76, 3.13]
5700,-106.212371447,[4.76, 3.13]
5800,-106.212371447,[4.76, 3.13]
5900,-106.212371447,[4.76, 3.13]
6000,-106.212371447,[4.76, 3.13]
6100,-106.212371447,[4.76, 3.13]
6200,-106.212371447,[4.76, 3.13]
6300,-106.212371447,[4.76, 3.13]
6400,-106.212371447,[4.76, 3.13]
6500,-106.212371447,[4.76, 3.13]
6600,-106.212371447,[4.76, 3.13]
6700,-106.212371447,[4.76, 3.13]
6800,-106.212371447,[4.76, 3.13]
6900,-106.212371447,[4.76, 3.13]
7000,-106.212371447,[4.76, 3.13]
7100,-106.212371447,[4.76, 3.13]
7200,-106.212371447,[4.76, 3.13]
7300,-106.212371447,[4.76, 3.13]
7400,-106.212371447,[4.76, 3.13]
7500,-106.212371447,[4.76, 3.13]
7600,-106.212371447,[4.76, 3.13]
7700,-106.212371447,[4.76, 3.13]
7800,-106.212371447,[4.76, 3.13]
7900,-106.212371447,[4.76, 3.13]
8000,-106.212371447,[4.76, 3.13]
8100,-106.212371447,[4.76, 3.13]
8200,-106.212371447,[4.76, 3.13]
8300,-106.212371447,[4.76, 3.13]
8400,-106.212371447,[4.76, 3.13]
8500,-106.212371447,[4.76, 3.13]
8600,-106.212371447,[4.76, 3.13]
8700,-106.212371447,[4.76, 3.13]
8800,-106.212371447,[4.76, 3.13]
8900,-106.212371447,[4.76, 3.13]
9000,-106.212371447,[4.76, 3.13]
9100,-106.212371447,[4.76, 3.13]
9200,-106.212371447,[4.76, 3.13]
9300,-106.212371447,[4.76, 3.13]
9400,-106.212371447,[4.76, 3.13]
9500,-106.212371447,[4.76, 3.13]
9600,-106.212371447,[4.76, 3.13]
9700,-106.212371447,[4.76, 3.13]
9800,-106.212371447,[4.76, 3.13]
9900,-106.212371447,[4.76, 3.13]
10000,-106.212371447,[4.76, 3.13]
10100,-106.212371447,[4.76, 3.13]
10200,-106.212371447,[4.76, 3.13]
10300,-106.212371447,[4.76, 3.13]
10400,-106.212371447,[4.76, 3.13]
10500,-106.497759299,[-1.6, -3.09]
10600,-106.497759299,[-1.6, -3.09]
10700,-106.730274836,[4.71, 3.14]
10800,-106.730274836,[4.71, 3.14]
10900,-106.730274836,[4.71, 3.14]
11000,-106.730274836,[4.71, 3.14]
11100,-106.730274836,[4.71, 3.14]
11200,-106.730274836,[4.71, 3.14]
11300,-106.730274836,[4.71, 3.14]
11400,-106.730274836,[4.71, 3.14]
11500,-106.730274836,[4.71, 3.14]
11600,-106.730274836,[4.71, 3.14]
11700,-106.730274836,[4.71, 3.14]
11800,-106.730274836,[4.71, 3.14]
11900,-106.730274836,[4.71, 3.14]
12000,-106.730274836,[4.71, 3.14]
12100,-106.730274836,[4.71, 3.14]
12200,-106.730274836,[4.71, 3.14]
12300,-106.730274836,[4.71, 3.14]
12400,-106.730274836,[4.71, 3.14]
12500,-106.730274836,[4.71, 3.14]
12600,-106.730274836,[4.71, 3.14]
12700,-106.730274836,[4.71, 3.14]
12800,-106.730274836,[4.71, 3.14]
12900,-106.730274836,[4.71, 3.14]
13000,-106.730274836,[4.71, 3.14]
13100,-106.730274836,[4.71, 3.14]
13200,-106.730274836,[4.71, 3.14]
13300,-106.730274836,[4.71, 3.14]
13400,-106.730274836,[4.71, 3.14]
13500,-106.730274836,[4.71, 3.14]
13600,-106.730274836,[4.71, 3.14]
13700,-106.730274836,[4.71, 3.14]
13800,-106.730274836,[4.71, 3.14]
13900,-106.730274836,[4.71, 3.14]
14000,-106.730274836,[4.71, 3.14]
14100,-106.730274836,[4.71, 3.14]
14200,-106.730274836,[4.71, 3.14]
14300,-106.730274836,[4.71, 3.14]
14400,-106.730274836,[4.71, 3.14]
14500,-106.730274836,[4.71, 3.14]
14600,-106.730274836,[4.71, 3.14]
14700,-106.730274836,[4.71, 3.14]
14800,-106.730274836,[4.71, 3.14]
14900,-106.730274836,[4.71, 3.14]
15000,-106.730274836,[4.71, 3.14]
15100,-106.730274836,[4.71, 3.14]
15200,-106.730274836,[4.71, 3.14]
15300,-106.730274836,[4.71, 3.14]
15400,-106.730274836,[4.71, 3.14]
15500,-106.730274836,[4.71, 3.14]
15600,-106.730274836,[4.71, 3.14]
15700,-106.730274836,[4.71, 3.14]
15800,-106.730274836,[4.71, 3.14]
15900,-106.730274836,[4.71, 3.14]
16000,-106.730274836,[4.71, 3.14]
16100,-106.730274836,[4.71, 3.14]
16200,-106.730274836,[4.71, 3.14]
16300,-106.730274836,[4.71, 3.14]
16400,-106.730274836,[4.71, 3.14]
