Iteration,Fitness,Chromosomes
0,-102.232806412,[-1.76, -3.08]
100,-106.763898939,[-1.58, -3.13]
200,-106.763898939,[-1.58, -3.13]
300,-106.763898939,[-1.58, -3.13]
400,-106.763898939,[-1.58, -3.13]
500,-106.763898939,[-1.58, -3.13]
600,-106.763898939,[-1.58, -3.13]
700,-106.763898939,[-1.58, -3.13]
800,-106.763898939,[-1.58, -3.13]
900,-106.763898939,[-1.58, -3.13]
1000,-106.763898939,[-1.58, -3.13]
1100,-106.763898939,[-1.58, -3.13]
1200,-106.763898939,[-1.58, -3.13]
1300,-106.763898939,[-1.58, -3.13]
1400,-106.763898939,[-1.58, -3.13]
1500,-106.763898939,[-1.58, -3.13]
1600,-106.763898939,[-1.58, -3.13]
1700,-106.763898939,[-1.58, -3.13]
1800,-106.763898939,[-1.58, -3.13]
1900,-106.763898939,[-1.58, -3.13]
2000,-106.763898939,[-1.58, -3.13]
2100,-106.763898939,[-1.58, -3.13]
2200,-106.763898939,[-1.58, -3.13]
2300,-106.763898939,[-1.58, -3.13]
2400,-106.763898939,[-1.58, -3.13]
2500,-106.763898939,[-1.58, -3.13]
2600,-106.763898939,[-1.58, -3.13]
2700,-106.763898939,[-1.58, -3.13]
2800,-106.763898939,[-1.58, -3.13]
2900,-106.763898939,[-1.58, -3.13]
3000,-106.763898939,[-1.58, -3.13]
3100,-106.763898939,[-1.58, -3.13]
3200,-106.763898939,[-1.58, -3.13]
3300,-106.763898939,[-1.58, -3.13]
3400,-106.763898939,[-1.58, -3.13]
3500,-106.763898939,[-1.58, -3.13]
3600,-106.763898939,[-1.58, -3.13]
3700,-106.763898939,[-1.58, -3.13]
3800,-106.763898939,[-1.58, -3.13]
3900,-106.763898939,[-1.58, -3.13]
4000,-106.763898939,[-1.58, -3.13]
4100,-106.763898939,[-1.58, -3.13]
4200,-106.763898939,[-1.58, -3.13]
4300,-106.763898939,[-1.58, -3.13]
4400,-106.763898939,[-1.58, -3.13]
4500,-106.763898939,[-1.58, -3.13]
4600,-106.763898939,[-1.58, -3.13]
4700,-106.763898939,[-1.58, -3.13]
4800,-106.763898939,[-1.58, -3.13]
4900,-106.763898939,[-1.58, -3.13]
5000,-106.763898939,[-1.58, -3.13]
5100,-106.763898939,[-1.58, -3.13]
5200,-106.763898939,[-1.58, -3.13]
5300,-106.763898939,[-1.58, -3.13]
5400,-106.763898939,[-1.58, -3.13]
5500,-106.763898939,[-1.58, -3.13]
5600,-106.763898939,[-1.58, -3.13]
5700,-106.763898939,[-1.58, -3.13]
5800,-106.763898939,[-1.58, -3.13]
5900,-106.763898939,[-1.58, -3.13]
6000,-106.763898939,[-1.58, -3.13]
6010,-106.763898939,[-1.58, -3.13]
