Iteration,Fitness,Chromosome
0,10861.3410055,[92.8, -33.53]
100,469.300617712,[-14.38, 11.43]
200,280.007490294,[-15.65, -4.13]
300,150.48970644,[-6.09, 7.5]
400,29.8224841896,[-5.39, -0.05]
500,25.6798153349,[3.43, -2.56]
600,25.6798153349,[3.43, -2.56]
700,25.6798153349,[3.43, -2.56]
800,25.6798153349,[3.43, -2.56]
900,25.6798153349,[3.43, -2.56]
1000,25.6798153349,[3.43, -2.56]
1100,25.6798153349,[3.43, -2.56]
1200,25.6798153349,[3.43, -2.56]
1300,25.6798153349,[3.43, -2.56]
1400,25.6798153349,[3.43, -2.56]
1500,25.6798153349,[3.43, -2.56]
1600,25.6798153349,[3.43, -2.56]
1700,18.2396300326,[2.02, -2.62]
1800,18.2396300326,[2.02, -2.62]
1900,18.2396300326,[2.02, -2.62]
2000,18.2396300326,[2.02, -2.62]
2100,18.2396300326,[2.02, -2.62]
2200,14.7436412081,[0.32, 2.6]
2300,5.69658326205,[-0.04, 1.62]
2400,5.69658326205,[-0.04, 1.62]
2500,5.69658326205,[-0.04, 1.62]
2600,5.69658326205,[-0.04, 1.62]
2700,5.69658326205,[-0.04, 1.62]
2800,5.69658326205,[-0.04, 1.62]
2900,5.69658326205,[-0.04, 1.62]
3000,5.69658326205,[-0.04, 1.62]
3100,5.69658326205,[-0.04, 1.62]
3200,5.69658326205,[-0.04, 1.62]
3300,5.69658326205,[-0.04, 1.62]
3400,5.69658326205,[-0.04, 1.62]
3500,5.69658326205,[-0.04, 1.62]
3600,5.69658326205,[-0.04, 1.62]
3700,5.69658326205,[-0.04, 1.62]
3800,5.69658326205,[-0.04, 1.62]
3900,5.69658326205,[-0.04, 1.62]
4000,5.69658326205,[-0.04, 1.62]
4100,5.69658326205,[-0.04, 1.62]
4200,5.69658326205,[-0.04, 1.62]
4300,5.69658326205,[-0.04, 1.62]
4400,5.69658326205,[-0.04, 1.62]
4500,5.69658326205,[-0.04, 1.62]
4600,5.69658326205,[-0.04, 1.62]
4700,5.69658326205,[-0.04, 1.62]
4800,5.69658326205,[-0.04, 1.62]
4900,5.69658326205,[-0.04, 1.62]
5000,5.69658326205,[-0.04, 1.62]
5100,5.69658326205,[-0.04, 1.62]
5200,5.69658326205,[-0.04, 1.62]
5300,5.69658326205,[-0.04, 1.62]
5400,5.69658326205,[-0.04, 1.62]
5500,5.69658326205,[-0.04, 1.62]
5600,5.69658326205,[-0.04, 1.62]
5700,5.69658326205,[-0.04, 1.62]
5800,5.69658326205,[-0.04, 1.62]
5900,5.69658326205,[-0.04, 1.62]
6000,5.69658326205,[-0.04, 1.62]
6100,5.69658326205,[-0.04, 1.62]
6200,5.69658326205,[-0.04, 1.62]
6300,5.69658326205,[-0.04, 1.62]
6400,5.69658326205,[-0.04, 1.62]
6500,5.69658326205,[-0.04, 1.62]
6600,5.69658326205,[-0.04, 1.62]
6700,5.69658326205,[-0.04, 1.62]
6800,5.69658326205,[-0.04, 1.62]
6900,5.69658326205,[-0.04, 1.62]
7000,5.69658326205,[-0.04, 1.62]
7100,5.69658326205,[-0.04, 1.62]
7200,5.69658326205,[-0.04, 1.62]
7300,5.69658326205,[-0.04, 1.62]
7400,5.69658326205,[-0.04, 1.62]
7500,5.69658326205,[-0.04, 1.62]
7600,5.69658326205,[-0.04, 1.62]
7700,5.69658326205,[-0.04, 1.62]
7800,5.69658326205,[-0.04, 1.62]
7900,5.69658326205,[-0.04, 1.62]
8000,5.69658326205,[-0.04, 1.62]
8100,5.69658326205,[-0.04, 1.62]
8200,5.69658326205,[-0.04, 1.62]
8300,5.69658326205,[-0.04, 1.62]
8400,5.69658326205,[-0.04, 1.62]
8500,5.69658326205,[-0.04, 1.62]
8600,5.69658326205,[-0.04, 1.62]
8700,5.69658326205,[-0.04, 1.62]
8800,5.69658326205,[-0.04, 1.62]
8900,5.69658326205,[-0.04, 1.62]
9000,5.69658326205,[-0.04, 1.62]
9100,5.69658326205,[-0.04, 1.62]
9200,5.69658326205,[-0.04, 1.62]
9300,5.69658326205,[-0.04, 1.62]
9400,5.69658326205,[-0.04, 1.62]
9500,5.69658326205,[-0.04, 1.62]
9600,5.69658326205,[-0.04, 1.62]
9700,5.69658326205,[-0.04, 1.62]
9800,5.69658326205,[-0.04, 1.62]
9900,5.69658326205,[-0.04, 1.62]
10000,5.69658326205,[-0.04, 1.62]
10100,5.69658326205,[-0.04, 1.62]
10200,5.69658326205,[-0.04, 1.62]
10300,5.69658326205,[-0.04, 1.62]
10400,5.69658326205,[-0.04, 1.62]
10500,5.69658326205,[-0.04, 1.62]
10600,5.69658326205,[-0.04, 1.62]
10700,5.69658326205,[-0.04, 1.62]
10800,5.69658326205,[-0.04, 1.62]
10900,5.69658326205,[-0.04, 1.62]
11000,5.69658326205,[-0.04, 1.62]
11100,5.69658326205,[-0.04, 1.62]
11200,5.69658326205,[-0.04, 1.62]
11300,5.69658326205,[-0.04, 1.62]
11400,5.69658326205,[-0.04, 1.62]
11500,5.69658326205,[-0.04, 1.62]
11600,5.69658326205,[-0.04, 1.62]
11700,5.69658326205,[-0.04, 1.62]
11800,5.69658326205,[-0.04, 1.62]
11900,5.69658326205,[-0.04, 1.62]
12000,5.69658326205,[-0.04, 1.62]
12100,5.69658326205,[-0.04, 1.62]
12200,5.69658326205,[-0.04, 1.62]
12300,5.69658326205,[-0.04, 1.62]
12400,5.69658326205,[-0.04, 1.62]
12500,5.69658326205,[-0.04, 1.62]
12600,5.69658326205,[-0.04, 1.62]
12700,5.69658326205,[-0.04, 1.62]
12800,5.69658326205,[-0.04, 1.62]
12900,5.69658326205,[-0.04, 1.62]
13000,5.69658326205,[-0.04, 1.62]
13100,5.69658326205,[-0.04, 1.62]
13200,5.69658326205,[-0.04, 1.62]
13300,5.69658326205,[-0.04, 1.62]
13400,5.69658326205,[-0.04, 1.62]
13500,5.69658326205,[-0.04, 1.62]
13600,5.69658326205,[-0.04, 1.62]
13700,5.69658326205,[-0.04, 1.62]
13800,5.69658326205,[-0.04, 1.62]
13900,4.78820055772,[-0.67, 1.39]
14000,4.78820055772,[-0.67, 1.39]
14100,4.78820055772,[-0.67, 1.39]
14200,4.78820055772,[-0.67, 1.39]
14300,4.78820055772,[-0.67, 1.39]
14400,4.78820055772,[-0.67, 1.39]
14500,4.78820055772,[-0.67, 1.39]
14600,4.78820055772,[-0.67, 1.39]
14700,4.78820055772,[-0.67, 1.39]
14800,4.78820055772,[-0.67, 1.39]
14900,4.78820055772,[-0.67, 1.39]
15000,4.78820055772,[-0.67, 1.39]
15100,4.78820055772,[-0.67, 1.39]
15200,4.78820055772,[-0.67, 1.39]
15300,4.78820055772,[-0.67, 1.39]
15400,4.78820055772,[-0.67, 1.39]
15500,4.78820055772,[-0.67, 1.39]
15600,4.78820055772,[-0.67, 1.39]
15700,4.78820055772,[-0.67, 1.39]
15800,4.78820055772,[-0.67, 1.39]
15900,4.78820055772,[-0.67, 1.39]
16000,4.78820055772,[-0.67, 1.39]
16100,4.78820055772,[-0.67, 1.39]
16200,4.78820055772,[-0.67, 1.39]
16300,4.78820055772,[-0.67, 1.39]
16400,4.78820055772,[-0.67, 1.39]
16500,4.78820055772,[-0.67, 1.39]
16600,4.78820055772,[-0.67, 1.39]
16700,4.78820055772,[-0.67, 1.39]
16800,4.78820055772,[-0.67, 1.39]
16900,4.78820055772,[-0.67, 1.39]
17000,4.78820055772,[-0.67, 1.39]
17100,4.78820055772,[-0.67, 1.39]
17200,4.78820055772,[-0.67, 1.39]
17300,4.78820055772,[-0.67, 1.39]
17400,4.78820055772,[-0.67, 1.39]
17500,4.78820055772,[-0.67, 1.39]
17600,4.20679425343,[0.69, 1.33]
17700,3.35745590828,[1.57, -0.13]
17800,0.763856916222,[0.21, -0.31]
17900,0.763856916222,[0.21, -0.31]
18000,0.763856916222,[0.21, -0.31]
18100,0.763856916222,[0.21, -0.31]
18200,0.763856916222,[0.21, -0.31]
18300,0.763856916222,[0.21, -0.31]
18400,0.537133706321,[0.1, -0.33]
18500,0.537133706321,[0.1, -0.33]
18600,0.537133706321,[0.1, -0.33]
18700,0.537133706321,[0.1, -0.33]
18800,0.537133706321,[0.1, -0.33]
18900,0.537133706321,[0.1, -0.33]
19000,0.537133706321,[0.1, -0.33]
19100,0.537133706321,[0.1, -0.33]
19200,0.537133706321,[0.1, -0.33]
19300,0.537133706321,[0.1, -0.33]
19400,0.537133706321,[0.1, -0.33]
19500,0.537133706321,[0.1, -0.33]
19600,0.537133706321,[0.1, -0.33]
19700,0.537133706321,[0.1, -0.33]
19800,0.537133706321,[0.1, -0.33]
19900,0.537133706321,[0.1, -0.33]
