Iteration,Fitness,Chromosomes
0,40.86,[-3.64, -3.66]
100,18.19,[-3.2, -1.9]
200,18.19,[-3.2, -1.9]
300,18.19,[-3.2, -1.9]
400,8.16,[-0.64, -1.9]
500,7.74,[0.0, -1.9]
600,7.74,[0.0, -1.9]
700,7.74,[0.0, -1.9]
800,0.12,[-0.0, 0.25]
900,0.12,[-0.0, 0.25]
1000,0.12,[-0.0, 0.25]
1100,0.12,[-0.0, 0.25]
1200,0.12,[-0.0, 0.25]
1300,0.12,[-0.0, 0.25]
1400,0.12,[-0.0, 0.25]
1500,0.12,[-0.0, 0.25]
1600,0.12,[-0.0, 0.25]
1700,0.12,[-0.0, 0.25]
1800,0.12,[-0.0, 0.25]
1900,0.12,[-0.0, 0.25]
2000,0.12,[-0.0, 0.25]
2100,0.12,[-0.0, 0.25]
2200,0.12,[-0.0, 0.25]
2300,0.12,[-0.0, 0.25]
2400,0.12,[-0.0, 0.25]
2500,0.12,[-0.0, 0.25]
2600,0.12,[-0.0, 0.25]
2700,0.12,[-0.0, 0.25]
2800,0.12,[-0.0, 0.25]
2900,0.12,[-0.0, 0.25]
3000,0.12,[-0.0, 0.25]
3100,0.12,[-0.0, 0.25]
3200,0.12,[-0.0, 0.25]
3300,0.12,[-0.0, 0.25]
3400,0.12,[-0.0, 0.25]
3500,0.12,[-0.0, 0.25]
3600,0.12,[-0.0, 0.25]
3700,0.12,[-0.0, 0.25]
3800,0.12,[-0.0, 0.25]
3900,0.12,[-0.0, 0.25]
4000,0.12,[-0.0, 0.25]
4100,0.12,[-0.0, 0.25]
4200,0.12,[-0.0, 0.25]
4300,0.12,[-0.0, 0.25]
4400,0.12,[-0.0, 0.25]
4500,0.12,[-0.0, 0.25]
4600,0.12,[-0.0, 0.25]
4700,0.12,[-0.0, 0.25]
4800,0.12,[-0.0, 0.25]
4900,0.12,[-0.0, 0.25]
5000,0.12,[-0.0, 0.25]
5100,0.12,[-0.0, 0.25]
5200,0.12,[-0.0, 0.25]
5300,0.12,[-0.0, 0.25]
5400,0.12,[-0.0, 0.25]
5500,0.12,[-0.0, 0.25]
5600,0.12,[-0.0, 0.25]
5700,0.12,[-0.0, 0.25]
5800,0.12,[-0.0, 0.25]
5900,0.12,[-0.0, 0.25]
6000,0.12,[-0.0, 0.25]
6100,0.12,[-0.0, 0.25]
6200,0.12,[-0.0, 0.25]
6300,0.12,[-0.0, 0.25]
6400,0.12,[-0.0, 0.25]
6500,0.12,[-0.0, 0.25]
6600,0.12,[-0.0, 0.25]
6700,0.12,[-0.0, 0.25]
6800,0.12,[-0.0, 0.25]
6900,0.12,[-0.0, 0.25]
7000,0.12,[-0.0, 0.25]
7100,0.12,[-0.0, 0.25]
7200,0.12,[-0.0, 0.25]
7300,0.12,[-0.0, 0.25]
7400,0.12,[-0.0, 0.25]
7500,0.12,[-0.0, 0.25]
7600,0.12,[-0.0, 0.25]
7700,0.12,[-0.0, 0.25]
7800,0.12,[-0.0, 0.25]
7900,0.12,[-0.0, 0.25]
8000,0.12,[-0.0, 0.25]
8100,0.12,[-0.0, 0.25]
8200,0.12,[-0.0, 0.25]
8300,0.12,[-0.0, 0.25]
8400,0.12,[-0.0, 0.25]
8500,0.12,[-0.0, 0.25]
8600,0.12,[-0.0, 0.25]
8700,0.12,[-0.0, 0.25]
8800,0.12,[-0.0, 0.25]
8900,0.12,[-0.0, 0.25]
9000,0.12,[-0.0, 0.25]
9100,0.12,[-0.0, 0.25]
9200,0.12,[-0.0, 0.25]
9300,0.12,[-0.0, 0.25]
9400,0.12,[-0.0, 0.25]
9500,0.12,[-0.0, 0.25]
9600,0.12,[-0.0, 0.25]
9700,0.12,[-0.0, 0.25]
9800,0.12,[-0.0, 0.25]
9900,0.12,[-0.0, 0.25]
10000,0.12,[-0.0, 0.25]
10100,0.12,[-0.0, 0.25]
10200,0.12,[-0.0, 0.25]
10300,0.12,[-0.0, 0.25]
10400,0.12,[-0.0, 0.25]
10500,0.12,[-0.0, 0.25]
10600,0.12,[-0.0, 0.25]
10700,0.12,[-0.0, 0.25]
10800,0.12,[-0.0, 0.25]
10900,0.12,[-0.0, 0.25]
11000,0.12,[-0.0, 0.25]
11100,0.12,[-0.0, 0.25]
11200,0.12,[-0.0, 0.25]
11300,0.12,[-0.0, 0.25]
11400,0.12,[-0.0, 0.25]
11500,0.12,[-0.0, 0.25]
11600,0.12,[-0.0, 0.25]
11700,0.12,[-0.0, 0.25]
11800,0.12,[-0.0, 0.25]
11900,0.12,[-0.0, 0.25]
12000,0.12,[-0.0, 0.25]
12100,0.12,[-0.0, 0.25]
12200,0.12,[-0.0, 0.25]
12300,0.12,[-0.0, 0.25]
12400,0.12,[-0.0, 0.25]
12500,0.12,[-0.0, 0.25]
12600,0.12,[-0.0, 0.25]
12700,0.12,[-0.0, 0.25]
12800,0.12,[-0.0, 0.25]
12900,0.12,[-0.0, 0.25]
13000,0.12,[-0.0, 0.25]
13100,0.12,[-0.0, 0.25]
13200,0.12,[-0.0, 0.25]
13300,0.12,[-0.0, 0.25]
13400,0.12,[-0.0, 0.25]
13500,0.12,[-0.0, 0.25]
13600,0.12,[-0.0, 0.25]
13700,0.12,[-0.0, 0.25]
13800,0.12,[-0.0, 0.25]
13900,0.12,[-0.0, 0.25]
14000,0.12,[-0.0, 0.25]
14100,0.12,[-0.0, 0.25]
14200,0.12,[-0.0, 0.25]
14300,0.12,[-0.0, 0.25]
14400,0.12,[-0.0, 0.25]
14500,0.12,[-0.0, 0.25]
14600,0.12,[-0.0, 0.25]
14700,0.12,[-0.0, 0.25]
14800,0.12,[-0.0, 0.25]
14900,0.12,[-0.0, 0.25]
15000,0.12,[-0.0, 0.25]
15100,0.12,[-0.0, 0.25]
15200,0.12,[-0.0, 0.25]
15300,0.12,[-0.0, 0.25]
15400,0.12,[-0.0, 0.25]
15500,0.12,[-0.0, 0.25]
15600,0.12,[-0.0, 0.25]
15700,0.12,[-0.0, 0.25]
15800,0.12,[-0.0, 0.25]
15900,0.12,[-0.0, 0.25]
16000,0.12,[-0.0, 0.25]
16100,0.12,[-0.0, 0.25]
16200,0.12,[-0.0, 0.25]
16300,0.12,[-0.0, 0.25]
16400,0.12,[-0.0, 0.25]
16500,0.12,[-0.0, 0.25]
16600,0.12,[-0.0, 0.25]
16700,0.12,[-0.0, 0.25]
16800,0.12,[-0.0, 0.25]
16900,0.12,[-0.0, 0.25]
17000,0.12,[-0.0, 0.25]
17100,0.12,[-0.0, 0.25]
