Iteration,Fitness,Chromosome
0,1291.0736,[-6.28, -6.64]
100,0.9981,[1.69, 2.28]
200,0.9981,[1.69, 2.28]
300,0.9981,[1.69, 2.28]
400,0.9981,[1.69, 2.28]
500,0.0197,[1.04, 2.91]
600,0.0197,[1.04, 2.91]
700,0.0197,[1.04, 2.91]
800,0.0197,[1.04, 2.91]
900,0.0197,[1.04, 2.91]
1000,0.0197,[1.04, 2.91]
1100,0.0197,[1.04, 2.91]
1200,0.0197,[1.04, 2.91]
1300,0.0197,[1.04, 2.91]
1400,0.0197,[1.04, 2.91]
1500,0.0197,[1.04, 2.91]
1600,0.0197,[1.04, 2.91]
1700,0.0197,[1.04, 2.91]
1800,0.0197,[1.04, 2.91]
1900,0.0197,[1.04, 2.91]
2000,0.0197,[1.04, 2.91]
2100,0.0197,[1.04, 2.91]
2200,0.0197,[1.04, 2.91]
2300,0.0197,[1.04, 2.91]
2400,0.0197,[1.04, 2.91]
2500,0.0197,[1.04, 2.91]
2600,0.0197,[1.04, 2.91]
2700,0.0197,[1.04, 2.91]
2800,0.0197,[1.04, 2.91]
2900,0.0197,[1.04, 2.91]
3000,0.0197,[1.04, 2.91]
3100,0.0197,[1.04, 2.91]
3200,0.0197,[1.04, 2.91]
3300,0.0197,[1.04, 2.91]
3400,0.0197,[1.04, 2.91]
3500,0.0197,[1.04, 2.91]
3600,0.0197,[1.04, 2.91]
3700,0.0197,[1.04, 2.91]
3800,0.0197,[1.04, 2.91]
3900,0.0197,[1.04, 2.91]
4000,0.0197,[1.04, 2.91]
4100,0.0197,[1.04, 2.91]
4200,0.0197,[1.04, 2.91]
4300,0.0197,[1.04, 2.91]
4400,0.0197,[1.04, 2.91]
4500,0.0197,[1.04, 2.91]
4600,0.0197,[1.04, 2.91]
4700,0.0197,[1.04, 2.91]
4800,0.0197,[1.04, 2.91]
4900,0.0197,[1.04, 2.91]
5000,0.0197,[1.04, 2.91]
5100,0.0197,[1.04, 2.91]
5200,0.0197,[1.04, 2.91]
5300,0.0197,[1.04, 2.91]
5400,0.0197,[1.04, 2.91]
5500,0.0197,[1.04, 2.91]
