Iteration,Fitness,Chromosomes
0,2.7521,[1.18, 3.59]
100,0.0338,[0.87, 3.13]
200,0.0234,[1.11, 2.93]
300,0.0122,[1.03, 2.93]
400,0.0089,[1.06, 2.93]
500,0.0008,[0.98, 3.02]
600,0.0008,[0.98, 3.02]
700,0.0008,[0.98, 3.02]
800,0.0008,[0.98, 3.02]
900,0.0008,[0.98, 3.02]
1000,0.0008,[0.98, 3.02]
1100,0.0008,[0.98, 3.02]
1200,0.0008,[0.98, 3.02]
1300,0.0008,[0.98, 3.02]
1400,0.0008,[0.98, 3.02]
1500,0.0008,[0.98, 3.02]
1600,0.0008,[0.98, 3.02]
1700,0.0008,[0.98, 3.02]
1800,0.0008,[0.98, 3.02]
1900,0.0008,[0.98, 3.02]
2000,0.0002,[1.01, 2.99]
2100,0.0002,[1.01, 2.99]
2200,0.0002,[1.01, 2.99]
2300,0.0002,[1.01, 2.99]
2400,0.0002,[1.01, 2.99]
2500,0.0002,[1.01, 2.99]
2600,0.0002,[1.01, 2.99]
2700,0.0002,[1.01, 2.99]
2800,0.0002,[1.01, 2.99]
2900,0.0002,[1.01, 2.99]
3000,0.0002,[1.01, 2.99]
3100,0.0002,[1.01, 2.99]
3200,0.0002,[1.01, 2.99]
3300,0.0002,[1.01, 2.99]
3400,0.0002,[1.01, 2.99]
3500,0.0002,[1.01, 2.99]
3600,0.0002,[1.01, 2.99]
3700,0.0002,[1.01, 2.99]
3800,0.0002,[1.01, 2.99]
3900,0.0002,[1.01, 2.99]
4000,0.0002,[1.01, 2.99]
4100,0.0002,[1.01, 2.99]
4200,0.0002,[1.01, 2.99]
4300,0.0002,[1.01, 2.99]
4400,0.0002,[1.01, 2.99]
4500,0.0002,[1.01, 2.99]
4600,0.0002,[1.01, 2.99]
4700,0.0002,[1.01, 2.99]
4800,0.0002,[1.01, 2.99]
4900,0.0002,[1.01, 2.99]
5000,0.0002,[1.01, 2.99]
5100,0.0002,[1.01, 2.99]
5200,0.0002,[1.01, 2.99]
5300,0.0002,[1.01, 2.99]
5400,0.0002,[1.01, 2.99]
5500,0.0002,[1.01, 2.99]
5600,0.0002,[1.01, 2.99]
5700,0.0002,[1.01, 2.99]
5800,0.0002,[1.01, 2.99]
5900,0.0002,[1.01, 2.99]
6000,0.0002,[1.01, 2.99]
