Iteration,Fitness,Chromosomes
0,1.40589073473,[2.69, 4.48]
100,0.397908291981,[3.14, 4.66]
200,0.397908291981,[3.14, 4.66]
300,0.397908291981,[3.14, 4.66]
400,0.397908291981,[3.14, 4.66]
500,0.397908291981,[3.14, 4.66]
600,0.397908291981,[3.14, 4.66]
700,0.397908291981,[3.14, 4.66]
800,0.397908291981,[3.14, 4.66]
900,0.397908291981,[3.14, 4.66]
1000,0.397908291981,[3.14, 4.66]
1100,0.397908291981,[3.14, 4.66]
1200,0.397908291981,[3.14, 4.66]
1300,0.397908291981,[3.14, 4.66]
1400,0.397908291981,[3.14, 4.66]
1500,0.397908291981,[3.14, 4.66]
1600,0.397908291981,[3.14, 4.66]
1700,0.397908291981,[3.14, 4.66]
1800,0.397908291981,[3.14, 4.66]
1900,0.397908291981,[3.14, 4.66]
2000,0.397908291981,[3.14, 4.66]
2100,0.397908291981,[3.14, 4.66]
2200,0.397908291981,[3.14, 4.66]
2300,0.397908291981,[3.14, 4.66]
2400,0.397908291981,[3.14, 4.66]
2500,0.397908291981,[3.14, 4.66]
2600,0.397908291981,[3.14, 4.66]
2700,0.397908291981,[3.14, 4.66]
2800,0.397908291981,[3.14, 4.66]
2900,0.397908291981,[3.14, 4.66]
3000,0.397908291981,[3.14, 4.66]
3100,0.397908291981,[3.14, 4.66]
3200,0.397908291981,[3.14, 4.66]
3300,0.397908291981,[3.14, 4.66]
3400,0.397908291981,[3.14, 4.66]
3500,0.397908291981,[3.14, 4.66]
3600,0.397908291981,[3.14, 4.66]
3700,0.397908291981,[3.14, 4.66]
3800,0.397908291981,[3.14, 4.66]
3900,0.397908291981,[3.14, 4.66]
4000,0.397908291981,[3.14, 4.66]
4100,0.397908291981,[3.14, 4.66]
4200,0.397908291981,[3.14, 4.66]
4300,0.397908291981,[3.14, 4.66]
4400,0.397908291981,[3.14, 4.66]
4500,0.397908291981,[3.14, 4.66]
4600,0.397908291981,[3.14, 4.66]
4700,0.397908291981,[3.14, 4.66]
4800,0.397908291981,[3.14, 4.66]
4900,0.397908291981,[3.14, 4.66]
5000,0.397908291981,[3.14, 4.66]
5100,0.397908291981,[3.14, 4.66]
5200,0.397908291981,[3.14, 4.66]
5300,0.397908291981,[3.14, 4.66]
5400,0.397908291981,[3.14, 4.66]
5500,0.397908291981,[3.14, 4.66]
5600,0.397908291981,[3.14, 4.66]
5700,0.397908291981,[3.14, 4.66]
5800,0.397908291981,[3.14, 4.66]
5900,0.397908291981,[3.14, 4.66]
5994,0.397908291981,[3.14, 4.66]
