Iteration,Fitness,Chromosomes
0,0.44,[9.45, 9.86]
100,0.4,[9.45, 9.65]
200,0.4,[9.45, 9.65]
300,0.4,[9.45, 9.65]
400,0.4,[9.45, 9.65]
500,0.4,[9.45, 9.65]
600,0.4,[9.45, 9.65]
700,0.4,[9.45, 9.65]
800,0.4,[9.45, 9.65]
900,0.4,[9.45, 9.65]
1000,0.4,[9.45, 9.65]
1100,0.4,[9.45, 9.65]
1200,0.4,[9.45, 9.65]
1300,0.4,[9.45, 9.65]
1400,0.4,[9.45, 9.65]
1500,0.4,[9.45, 9.65]
1600,0.4,[9.45, 9.65]
1700,0.4,[9.45, 9.65]
1800,0.4,[9.45, 9.65]
1900,0.4,[9.45, 9.65]
2000,0.4,[9.45, 9.65]
2100,0.4,[9.45, 9.65]
2200,0.4,[9.45, 9.65]
2300,0.4,[9.45, 9.65]
2400,0.4,[9.45, 9.65]
2500,0.4,[9.45, 9.65]
2600,0.4,[9.45, 9.65]
2700,0.4,[9.45, 9.65]
2800,0.4,[9.45, 9.65]
2900,0.4,[9.45, 9.65]
3000,0.4,[9.45, 9.65]
3100,0.4,[9.45, 9.65]
3200,0.4,[9.45, 9.65]
3300,0.4,[9.45, 9.65]
3400,0.4,[9.45, 9.65]
3500,0.4,[9.45, 9.65]
3600,0.4,[9.45, 9.65]
3700,0.4,[9.45, 9.65]
3800,0.4,[9.45, 9.65]
3900,0.4,[9.45, 9.65]
4000,0.4,[9.45, 9.65]
4100,0.4,[9.45, 9.65]
4200,0.4,[9.45, 9.65]
4300,0.4,[9.45, 9.65]
4400,0.4,[9.45, 9.65]
4500,0.4,[9.45, 9.65]
4600,0.4,[9.45, 9.65]
4700,0.4,[9.45, 9.65]
4800,0.4,[9.45, 9.65]
4900,0.4,[9.45, 9.65]
5000,0.4,[9.45, 9.65]
5100,0.4,[9.45, 9.65]
5200,0.4,[9.45, 9.65]
5300,0.4,[9.45, 9.65]
5400,0.4,[9.45, 9.65]
5500,0.4,[9.45, 9.65]
5600,0.4,[9.45, 9.65]
5700,0.4,[9.45, 9.65]
5800,0.4,[9.45, 9.65]
5900,0.4,[9.45, 9.65]
6000,0.4,[9.45, 9.65]
6100,0.4,[9.45, 9.65]
6200,0.4,[9.45, 9.65]
6300,0.4,[9.45, 9.65]
6400,0.4,[9.45, 9.65]
6500,0.4,[9.45, 9.65]
6600,0.4,[9.45, 9.65]
6700,0.4,[9.45, 9.65]
6800,0.4,[9.45, 9.65]
6900,0.4,[9.45, 9.65]
7000,0.4,[9.45, 9.65]
7100,0.4,[9.45, 9.65]
7200,0.4,[9.45, 9.65]
7300,0.4,[9.45, 9.65]
7400,0.4,[9.45, 9.65]
7500,0.4,[9.45, 9.65]
7600,0.4,[9.45, 9.65]
7700,0.4,[9.45, 9.65]
7800,0.4,[9.45, 9.65]
7900,0.4,[9.45, 9.65]
8000,0.4,[9.45, 9.65]
8100,0.4,[9.45, 9.65]
8200,0.4,[9.45, 9.65]
8300,0.4,[9.45, 9.65]
8400,0.4,[9.45, 9.65]
8500,0.4,[9.45, 9.65]
8600,0.4,[9.45, 9.65]
8700,0.4,[9.45, 9.65]
8800,0.4,[9.45, 9.65]
8900,0.4,[9.45, 9.65]
9000,0.4,[9.45, 9.65]
9100,0.4,[9.45, 9.65]
9200,0.4,[9.45, 9.65]
9300,0.4,[9.45, 9.65]
9400,0.4,[9.45, 9.65]
9500,0.4,[9.45, 9.65]
9600,0.4,[9.45, 9.65]
9700,0.4,[9.45, 9.65]
9800,0.4,[9.45, 9.65]
9900,0.4,[9.45, 9.65]
10000,0.4,[9.45, 9.65]
10100,0.4,[9.45, 9.65]
10200,0.4,[9.45, 9.65]
10300,0.4,[9.45, 9.65]
10400,0.4,[9.45, 9.65]
