Iteration,Fitness,Chromosome
0,206.556299481,[-0.89, 1.11]
100,2.9377,[-9.29, -8.44]
200,2.3753,[-9.57, -8.52]
300,2.3753,[-9.57, -8.52]
400,2.3753,[-9.57, -8.52]
500,1.06,[-9.86, -8.98]
600,1.06,[-9.86, -8.98]
700,1.06,[-9.86, -8.98]
800,1.06,[-9.86, -8.98]
900,1.06,[-9.86, -8.98]
1000,1.06,[-9.86, -8.98]
1100,1.06,[-9.86, -8.98]
1200,1.06,[-9.86, -8.98]
1300,1.06,[-9.86, -8.98]
1400,1.06,[-9.86, -8.98]
1500,1.06,[-9.86, -8.98]
1600,1.06,[-9.86, -8.98]
1700,0.7424,[-9.2, -9.68]
1800,0.7424,[-9.2, -9.68]
1900,0.7424,[-9.2, -9.68]
2000,0.7424,[-9.2, -9.68]
2100,0.7424,[-9.2, -9.68]
2200,0.7424,[-9.2, -9.68]
2300,0.7424,[-9.2, -9.68]
2400,0.7424,[-9.2, -9.68]
2500,0.7424,[-9.2, -9.68]
2600,0.7424,[-9.2, -9.68]
2700,0.7424,[-9.2, -9.68]
2800,0.7424,[-9.2, -9.68]
2900,0.2176,[-9.6, -9.76]
3000,0.2176,[-9.6, -9.76]
3100,0.2176,[-9.6, -9.76]
3200,0.2176,[-9.6, -9.76]
3300,0.2176,[-9.6, -9.76]
3400,0.2176,[-9.6, -9.76]
3500,0.2176,[-9.6, -9.76]
3600,0.2176,[-9.6, -9.76]
3700,0.2176,[-9.6, -9.76]
3800,0.2176,[-9.6, -9.76]
3900,0.2176,[-9.6, -9.76]
4000,0.2176,[-9.6, -9.76]
4100,0.2176,[-9.6, -9.76]
4200,0.2176,[-9.6, -9.76]
4300,0.2176,[-9.6, -9.76]
4400,0.2176,[-9.6, -9.76]
4500,0.2176,[-9.6, -9.76]
4600,0.2176,[-9.6, -9.76]
4700,0.2176,[-9.6, -9.76]
4800,0.2176,[-9.6, -9.76]
4900,0.2176,[-9.6, -9.76]
5000,0.2176,[-9.6, -9.76]
5100,0.0801,[-9.85, -9.76]
5200,0.0801,[-9.85, -9.76]
5300,0.0801,[-9.85, -9.76]
5400,0.0801,[-9.85, -9.76]
5500,0.0801,[-9.85, -9.76]
5600,0.0801,[-9.85, -9.76]
5700,0.0801,[-9.85, -9.76]
5800,0.0801,[-9.85, -9.76]
5900,0.0801,[-9.85, -9.76]
6000,0.0801,[-9.85, -9.76]
6100,0.0801,[-9.85, -9.76]
6200,0.0801,[-9.85, -9.76]
6300,0.0801,[-9.85, -9.76]
6400,0.0801,[-9.85, -9.76]
6500,0.0801,[-9.85, -9.76]
6600,0.0801,[-9.85, -9.76]
6700,0.0677,[-9.74, -9.99]
6800,0.0677,[-9.74, -9.99]
6900,0.0677,[-9.74, -9.99]
7000,0.0677,[-9.74, -9.99]
7100,0.0677,[-9.74, -9.99]
7200,0.0677,[-9.74, -9.99]
7300,0.0677,[-9.74, -9.99]
7400,0.0677,[-9.74, -9.99]
