Iteration,Fitness,Chromosomes
0,7.1261,[-8.94, -7.55]
100,0.0009,[-10.0, -9.97]
200,1.38389652674e-87,[-10.0, -10.0]
300,1.38389652674e-87,[-10.0, -10.0]
400,1.38389652674e-87,[-10.0, -10.0]
500,1.38389652674e-87,[-10.0, -10.0]
600,1.38389652674e-87,[-10.0, -10.0]
700,1.38389652674e-87,[-10.0, -10.0]
800,1.38389652674e-87,[-10.0, -10.0]
900,1.38389652674e-87,[-10.0, -10.0]
1000,1.38389652674e-87,[-10.0, -10.0]
1100,1.38389652674e-87,[-10.0, -10.0]
1200,1.38389652674e-87,[-10.0, -10.0]
1300,1.38389652674e-87,[-10.0, -10.0]
1400,1.38389652674e-87,[-10.0, -10.0]
1500,1.38389652674e-87,[-10.0, -10.0]
1600,1.38389652674e-87,[-10.0, -10.0]
1700,1.38389652674e-87,[-10.0, -10.0]
1800,1.38389652674e-87,[-10.0, -10.0]
1900,1.38389652674e-87,[-10.0, -10.0]
2000,1.38389652674e-87,[-10.0, -10.0]
2100,1.38389652674e-87,[-10.0, -10.0]
2200,1.38389652674e-87,[-10.0, -10.0]
2300,1.38389652674e-87,[-10.0, -10.0]
2400,1.38389652674e-87,[-10.0, -10.0]
2500,1.38389652674e-87,[-10.0, -10.0]
2600,1.38389652674e-87,[-10.0, -10.0]
2700,1.38389652674e-87,[-10.0, -10.0]
2800,1.38389652674e-87,[-10.0, -10.0]
2900,1.38389652674e-87,[-10.0, -10.0]
3000,1.38389652674e-87,[-10.0, -10.0]
3100,1.38389652674e-87,[-10.0, -10.0]
3200,1.38389652674e-87,[-10.0, -10.0]
3300,1.38389652674e-87,[-10.0, -10.0]
3400,1.38389652674e-87,[-10.0, -10.0]
3500,1.38389652674e-87,[-10.0, -10.0]
3600,1.38389652674e-87,[-10.0, -10.0]
3700,1.38389652674e-87,[-10.0, -10.0]
3800,1.38389652674e-87,[-10.0, -10.0]
3900,1.38389652674e-87,[-10.0, -10.0]
4000,1.38389652674e-87,[-10.0, -10.0]
4100,1.38389652674e-87,[-10.0, -10.0]
4200,1.38389652674e-87,[-10.0, -10.0]
4300,1.38389652674e-87,[-10.0, -10.0]
4400,1.38389652674e-87,[-10.0, -10.0]
4500,1.38389652674e-87,[-10.0, -10.0]
4600,1.38389652674e-87,[-10.0, -10.0]
4700,1.38389652674e-87,[-10.0, -10.0]
4800,1.38389652674e-87,[-10.0, -10.0]
4900,1.38389652674e-87,[-10.0, -10.0]
5000,1.38389652674e-87,[-10.0, -10.0]
5100,1.38389652674e-87,[-10.0, -10.0]
5200,1.38389652674e-87,[-10.0, -10.0]
5300,1.38389652674e-87,[-10.0, -10.0]
5400,1.38389652674e-87,[-10.0, -10.0]
5500,1.38389652674e-87,[-10.0, -10.0]
5600,1.38389652674e-87,[-10.0, -10.0]
5700,1.38389652674e-87,[-10.0, -10.0]
5800,1.38389652674e-87,[-10.0, -10.0]
5900,1.38389652674e-87,[-10.0, -10.0]
6000,1.38389652674e-87,[-10.0, -10.0]
6002,1.38389652674e-87,[-10.0, -10.0]
