Iteration,Fitness,Chromosomes
0,14.38,[-6.23, -9.59]
100,0.18,[-9.57, -9.99]
200,0.18,[-9.57, -9.99]
300,0.01,[-9.91, -9.99]
400,0.01,[-9.91, -9.99]
500,0.01,[-9.91, -9.99]
600,0.01,[-9.91, -9.99]
700,0.01,[-9.91, -9.99]
800,0.01,[-9.91, -9.99]
900,0.01,[-9.91, -9.99]
1000,0.01,[-9.91, -9.99]
1100,0.01,[-9.91, -9.99]
1200,0.01,[-9.91, -9.99]
1300,0.01,[-9.91, -9.99]
1400,0.01,[-9.91, -9.99]
1500,0.01,[-9.91, -9.99]
1600,0.01,[-9.91, -9.99]
1700,0.01,[-9.91, -9.99]
1800,0.01,[-9.91, -9.99]
1900,0.01,[-9.91, -9.99]
2000,0.01,[-9.91, -9.99]
2100,0.01,[-9.91, -9.99]
2200,0.01,[-9.91, -9.99]
2300,0.01,[-9.91, -9.99]
2400,0.01,[-9.91, -9.99]
2500,0.01,[-9.91, -9.99]
2600,0.01,[-9.91, -9.99]
2700,0.01,[-9.91, -9.99]
2800,0.01,[-9.91, -9.99]
2900,0.01,[-9.91, -9.99]
3000,0.01,[-9.91, -9.99]
3100,0.01,[-9.91, -9.99]
3200,0.01,[-9.91, -9.99]
3300,0.01,[-9.91, -9.99]
3400,0.01,[-9.91, -9.99]
3500,0.01,[-9.91, -9.99]
3600,0.01,[-9.91, -9.99]
3700,0.01,[-9.91, -9.99]
3800,0.01,[-9.91, -9.99]
3900,0.01,[-9.91, -9.99]
4000,0.01,[-9.91, -9.99]
4100,0.01,[-9.91, -9.99]
4200,0.01,[-9.91, -9.99]
4300,0.01,[-9.91, -9.99]
4400,0.01,[-9.91, -9.99]
4500,0.01,[-9.91, -9.99]
4600,0.01,[-9.91, -9.99]
4700,0.01,[-9.91, -9.99]
4800,0.01,[-9.91, -9.99]
4900,0.01,[-9.91, -9.99]
5000,0.01,[-9.91, -9.99]
5100,0.01,[-9.91, -9.99]
5200,0.01,[-9.91, -9.99]
5300,0.01,[-9.91, -9.99]
5400,0.01,[-9.91, -9.99]
5500,0.01,[-9.91, -9.99]
5600,0.01,[-9.91, -9.99]
5700,0.01,[-9.91, -9.99]
5800,0.01,[-9.91, -9.99]
5900,0.01,[-9.91, -9.99]
6000,0.01,[-9.91, -9.99]
6100,0.01,[-9.91, -9.99]
6200,0.01,[-9.91, -9.99]
6300,0.01,[-9.91, -9.99]
6400,0.01,[-9.91, -9.99]
6500,0.01,[-9.91, -9.99]
6600,0.01,[-9.91, -9.99]
6700,0.01,[-9.91, -9.99]
6800,0.01,[-9.91, -9.99]
6900,0.01,[-9.91, -9.99]
7000,0.01,[-9.91, -9.99]
7100,0.01,[-9.91, -9.99]
7200,0.01,[-9.91, -9.99]
7300,0.01,[-9.91, -9.99]
7400,0.01,[-9.91, -9.99]
7500,0.01,[-9.91, -9.99]
7600,0.01,[-9.91, -9.99]
7700,0.01,[-9.91, -9.99]
7800,0.01,[-9.91, -9.99]
7900,0.01,[-9.91, -9.99]
8000,0.01,[-9.91, -9.99]
8100,0.01,[-9.91, -9.99]
8200,0.01,[-9.91, -9.99]
8300,0.01,[-9.91, -9.99]
8400,0.01,[-9.91, -9.99]
8500,0.01,[-9.91, -9.99]
8600,0.01,[-9.91, -9.99]
8700,0.01,[-9.91, -9.99]
8800,0.01,[-9.91, -9.99]
8900,0.01,[-9.91, -9.99]
9000,0.01,[-9.91, -9.99]
9100,0.01,[-9.91, -9.99]
9200,0.01,[-9.91, -9.99]
9300,0.01,[-9.91, -9.99]
9400,0.01,[-9.91, -9.99]
9500,0.01,[-9.91, -9.99]
9600,0.01,[-9.91, -9.99]
9700,0.0,[-9.97, -9.98]
9800,0.0,[-9.97, -9.98]
9900,0.0,[-9.97, -9.98]
10000,0.0,[-9.97, -9.98]
10100,0.0,[-9.97, -9.98]
10200,0.0,[-9.97, -9.98]
10300,0.0,[-9.97, -9.98]
10400,0.0,[-9.97, -9.98]
10500,0.0,[-9.97, -9.98]
10600,0.0,[-9.97, -9.98]
10700,0.0,[-9.97, -9.98]
10800,0.0,[-9.97, -9.98]
10900,0.0,[-9.97, -9.98]
11000,0.0,[-9.97, -9.98]
11100,0.0,[-9.97, -9.98]
11200,0.0,[-9.97, -9.98]
11300,0.0,[-9.97, -9.98]
11400,0.0,[-9.97, -9.98]
11500,0.0,[-9.97, -9.98]
11600,0.0,[-9.97, -9.98]
11700,0.0,[-9.97, -9.98]
11800,0.0,[-9.97, -9.98]
11900,0.0,[-9.97, -9.98]
12000,0.0,[-9.97, -9.98]
12100,0.0,[-9.97, -9.98]
12200,0.0,[-9.97, -9.98]
12300,0.0,[-9.97, -9.98]
12400,0.0,[-9.97, -9.98]
12500,0.0,[-9.97, -9.98]
12600,0.0,[-9.97, -9.98]
12700,0.0,[-9.97, -9.98]
12800,0.0,[-9.97, -9.98]
12900,0.0,[-9.97, -9.98]
13000,0.0,[-9.97, -9.98]
13100,0.0,[-9.97, -9.98]
13200,0.0,[-9.97, -9.98]
13300,0.0,[-9.97, -9.98]
13400,0.0,[-9.97, -9.98]
13500,0.0,[-9.97, -9.98]
13600,0.0,[-9.97, -9.98]
13700,0.0,[-9.97, -9.98]
13800,0.0,[-9.97, -9.98]
13900,0.0,[-9.97, -9.98]
14000,0.0,[-9.97, -9.98]
14100,0.0,[-9.97, -9.98]
14200,0.0,[-9.97, -9.98]
14300,0.0,[-9.97, -9.98]
14400,0.0,[-9.97, -9.98]
14500,0.0,[-9.97, -9.98]
14600,0.0,[-9.97, -9.98]
14700,0.0,[-9.97, -9.98]
14800,0.0,[-9.97, -9.98]
14900,0.0,[-9.97, -9.98]
15000,0.0,[-9.97, -9.98]
15100,0.0,[-9.97, -9.98]
15200,0.0,[-9.97, -9.98]
15300,0.0,[-9.97, -9.98]
15400,0.0,[-9.97, -9.98]
15500,0.0,[-9.97, -9.98]
15600,0.0,[-9.97, -9.98]
15700,0.0,[-9.97, -9.98]
15800,0.0,[-9.97, -9.98]
15900,0.0,[-9.97, -9.98]
16000,0.0,[-9.97, -9.98]
16100,0.0,[-9.97, -9.98]
16200,0.0,[-9.97, -9.98]
16300,0.0,[-9.97, -9.98]
16400,0.0,[-9.97, -9.98]
16500,0.0,[-9.97, -9.98]
16600,0.0,[-9.97, -9.98]
16700,0.0,[-9.97, -9.98]
16800,0.0,[-9.97, -9.98]
16900,0.0,[-9.97, -9.98]
17000,0.0,[-9.97, -9.98]
17100,0.0,[-9.97, -9.98]
17200,0.0,[-9.97, -9.98]
17300,0.0,[-9.97, -9.98]
17400,0.0,[-9.97, -9.98]
17500,0.0,[-9.97, -9.98]
17600,0.0,[-9.97, -9.98]
17700,0.0,[-9.97, -9.98]
17800,0.0,[-9.97, -9.98]
17900,0.0,[-9.97, -9.98]
18000,0.0,[-9.97, -9.98]
18100,0.0,[-9.97, -9.98]
18200,0.0,[-9.97, -9.98]
18300,0.0,[-9.97, -9.98]
18400,0.0,[-9.97, -9.98]
18500,0.0,[-9.97, -9.98]
18600,0.0,[-9.97, -9.98]
18700,0.0,[-9.97, -9.98]
18800,0.0,[-9.97, -9.98]
18900,0.0,[-9.97, -9.98]
19000,0.0,[-9.97, -9.98]
19100,0.0,[-9.97, -9.98]
19200,0.0,[-9.97, -9.98]
19300,0.0,[-9.97, -9.98]
19400,0.0,[-9.97, -9.98]
19500,0.0,[-9.97, -9.98]
19600,0.0,[-9.97, -9.98]
19700,0.0,[-9.97, -9.98]
19800,0.0,[-9.97, -9.98]
19900,0.0,[-9.97, -9.98]
20000,0.0,[-9.97, -9.98]
